종목코드,기업,현재가,시총(억),네이버업종,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
009830,한화솔루션,29800.0,67018.0,,컨센서스 없음 → 산출불가,2,"K신재생에너지,K이노베이션",8.48,2차전지·에너지,태양광,한화솔루션,,보류,컨센서스 없음,,2026-09-13
298380,에이비엘바이오,66100.0,37008.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",8.35,바이오·헬스케어,신약·플랫폼,에이비엘바이오,,보류,컨센서스 없음,,2026-09-13
145020,휴젤,231000.0,28910.0,,컨센서스 없음 → 산출불가,2,"K바이오,K컬처",7.26,바이오·헬스케어,미용의료·의료기기,휴젤,,보류,컨센서스 없음,,2026-09-13
141080,리가켐바이오,85200.0,31541.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",6.37,바이오·헬스케어,신약·플랫폼,리가켐바이오,,보류,컨센서스 없음,,2026-09-13
095610,테스,143500.0,27782.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스닥",5.19,반도체,전공정 장비,테스,,보류,컨센서스 없음,,2026-09-13
138040,메리츠금융지주,128400.0,214874.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코스피",4.33,금융,보험,메리츠금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
086790,하나금융지주,137800.0,378079.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코리아밸류업",3.7,금융,은행,하나금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
476830,알지노믹스,26500.0,7435.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",3.59,바이오·헬스케어,신약·플랫폼,알지노믹스,,보류,컨센서스 없음,,2026-09-13
005830,DB손해보험,191700.0,125564.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코리아밸류업",3.55,금융,보험,DB손해보험,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
316140,우리금융지주,35100.0,258612.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코리아밸류업",3.42,금융,은행,우리금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
