종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,217.55,24150.0,302970.0,65.21,5250000.0,117.21,92.03,16.32,0.46,0.17,18.04,0.37,,FY 2027,FY 2026,409000.0,268840.0,244310.0,223707.19374856353,9.27,19.528343996429104,23.46817691477886,0.26249446405145277,0.22101954408941965,0.33158825054294244,0.31952538479337184,,65.73105134474328,60.382513661202175,89.40446420301936,106.18145563310071,323.42,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",9.66,0.22101954408941965,통과,,비지배괴리,2026-08-31
AMZN,Amazon,265.45,10790.0,775680.0,12.08,2870000.0,30.56,11.94,11.34,,0.46,28.76,1.38,,FY 2026,FY 2025,828190.0,109710.0,133310.0,134931.62554153326,12.48,26.159876036824354,21.27003205128205,1.3704422915615293,0.572208934901291,1.4269289380282633,1.0437590437076596,,13.246960238592592,11.156056463761647,15.52056017407799,37.17179294823707,327.67,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.61,0.572208934901291,탈락,PEG매출>1,,2026-08-31
META,Meta Platforms,575.44,2550.0,228250.0,38.08,1470000.0,29.85,25.4,10.4,0.36,0.43,17.86,0.92,-22.66,FY 2026,FY 2025,254200.0,87750.0,80800.0,79600.30585291256,31.16,16.752136752136753,18.467265725288833,0.6972320858183914,3.4406127284162267,0.7931530856249367,2.1647272139994205,,34.52006294256491,41.43902074936558,26.486540279643723,5.3674351585014435,754.77,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.83,3.4406127284162267,탈락,PEG영익>1,,2026-08-31
LLY,Eli Lilly,1174.61,891.36,79670.0,49.72,1050000.0,102.29,42.24,6.7,0.59,1.62,28.8,1.36,,FY 2026,FY 2025,88180.0,41050.0,31500.0,32815.572828428165,36.71,25.578562728380025,31.997003541269404,0.9067672568782349,0.8372784186570056,1.282833029929568,0.8065241511919877,,46.552506237242,45.56612457809143,35.286897821417604,38.215488215488215,1315.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",12.04,0.8372784186570056,탈락,fPER>30,,2026-08-31
TSLA,Tesla,348.75,3950.0,103620.0,4.13,1380000.0,4.67,5.46,14.15,,0.18,183.21,6.77,-0.24,FY 2026,FY 2025,106030.0,4290.0,3840.0,7003.870967741936,1.77,321.67832167832165,197.03389830508473,16.68278980024213,,15.331797843602864,14.003467357319662,,4.04602470998774,4.597701149425287,11.810608457239269,-1.6055045871559592,390.09,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Tesla Inc,4,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.93,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-08-31
MSFT,Microsoft,509.82,7430.0,331840.0,46.78,3810000.0,34.04,26.18,10.02,0.71,0.29,26.0,1.62,,FY 2027,FY 2026,391080.0,182160.0,146940.0,147596.2104272096,19.75,20.915678524374176,25.81367088607595,1.4459838870417696,1.488601139804766,1.3824963850676384,1.5373874314762894,,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,569.45,USD,,,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.19,1.488601139804766,탈락,"PEG매출>1,PEG영익>1",,2026-08-31
AAPL,Apple,319.59,14590.0,466820.0,33.17,4670000.0,148.75,101.57,10.04,0.34,0.78,34.91,3.31,,FY 2026,FY 2025,477680.0,156310.0,129940.0,128882.00506899467,8.82,29.876527413473227,36.23469387755102,2.4511427509885624,2.072668108515976,2.941597703673241,2.7691905863495494,,32.72274325908558,31.970876585928487,14.78277585544021,17.48214956783165,324.45,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.59,2.072668108515976,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-31
SNDK,Sandisk,1484.97,146.42,20250.0,61.58,217430.0,91.64,102.23,,,0.01,6.94,0.18,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31348.621857680624,214.1,5.58371854134566,6.935871088276507,0.048920720842075674,0.03267484415217531,0.10061794732194022,0.07437504857142388,,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2126.0,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.11,0.07437504857142388,통과,,기저효과(2y),2026-08-31
GOOGL,Alphabet,344.98,12230.0,445870.0,33.11,4240000.0,48.68,24.93,10.79,0.25,0.19,26.0,1.97,,FY 2026,FY 2025,498010.0,171650.0,251890.0,253185.69192416948,20.6,24.701427323041074,16.746601941747574,0.7088579516878839,0.5071536058585088,0.7264136435328262,0.9777786554643937,,34.46717937390815,32.03256876179128,23.624764174362035,33.02076875387478,428.07,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.07,0.5071536058585088,통과,,비지배괴리,2026-08-31
AMD,Advanced Micro Devices,465.58,1630.0,41310.0,15.82,760050.0,10.2,9.77,17.85,,0.06,41.92,0.64,,FY 2026,FY 2025,50810.0,14340.0,9380.0,12357.872975643284,7.57,53.00209205020921,61.50330250990753,1.3175475565511419,0.21700221828967375,1.0453801074354279,0.665010564424915,,28.22279078921472,10.796766743648961,46.68013856812934,283.4224598930481,613.84,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Advanced Micro Devices Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.28,0.665010564424915,탈락,"PEG매출>1,fPER>30","기저효과(2y),비지배괴리",2026-08-31
HOOD,Robinhood,104.26,899.08,4930.0,46.03,93740.0,23.62,7.01,13.67,,2.4,44.05,2.37,,FY 2026,FY 2025,5170.0,2260.0,1890.0,2256.737003644734,2.51,41.47787610619469,41.53784860557769,2.6524883323847486,5.106711975626899,2.017607691364573,2.2582515961443845,,43.7137330754352,46.75615212527964,15.659955257270685,8.133971291866038,120.08,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Robinhood Markets Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.19,5.106711975626899,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-31
LITE,Lumentum Holdings,895.0,89.7,3010.0,17.79,80280.0,-240.03,16.03,12.49,,0.36,41.38,0.34,,FY 2027,FY 2026,6270.0,2560.0,1950.0,1940.1747486033519,21.63,31.359375,41.37771613499769,0.3820457839458375,0.10962907101287558,0.5413399487731396,0.43498195029098613,,40.82934609250399,17.813953488372096,108.30564784053158,377.4337933606863,1148.0,USD,,,AI·전력인프라,Stock Lists Top Analysts Top Stocks Corporate Actions,Lumentum Holdings Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.16,0.43498195029098613,탈락,"ROE<10,fPER>30",기저효과(2y),2026-08-31
INTC,Intel,89.47,5250.0,57030.0,7.82,470120.0,-10.72,3.42,15.14,,0.49,53.85,0.78,,FY 2026,FY 2025,62990.0,9610.0,-11800.0,7934.293059125964,1.51,48.91987513007284,59.25165562913907,3.088214990138066,,3.683513162717746,0.4921672636938555,,15.256389903159231,1.7540208136234625,19.18637653736992,936.6774541531823,114.88,USD,,기저효과→PEG(영익)1y 산출불가,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Intel Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.11,0.4921672636938555,탈락,"PEG매출>1,ROE<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-31
DELL,Dell Technologies,456.24,646.14,134000.0,8.44,294800.0,,23.97,11.19,0.55,,23.72,0.92,,FY 2027,FY 2026,172940.0,15900.0,11060.0,12121.795546203753,18.76,18.540880503144653,24.319829424307034,0.4648608472787576,0.2953606024790492,0.77715324971383,0.5162564012893868,,9.193940094830577,7.6801127355997885,52.316364276906825,82.33944954128441,510.26,USD,,,AI·전력인프라,Stock Lists Top Analysts Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.84,0.2953606024790492,탈락,"ROE<10,이익률<10",,2026-08-31
