종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,222.4,24150.0,302970.0,65.21,5370000.0,117.21,92.03,16.33,0.45,0.17,18.72,0.36,,FY 2027,FY 2026,411560.0,268840.0,242920.0,224796.3129496403,9.31,19.974706144918912,23.88829215896885,0.2636968514879733,0.22497612239855166,0.3070051481040725,0.2938047397285895,,65.32218874526194,60.382513661202175,90.58997869778642,106.18145563310071,327.7,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",10.25,0.22497612239855166,통과,,,2026-09-24
TSLA,Tesla,377.81,3950.0,103620.0,4.13,1490000.0,4.67,5.46,14.26,,0.18,196.51,7.26,-10.97,FY 2026,FY 2025,106190.0,4059.9999999999995,3750.0,7019.930652973718,1.78,366.9950738916257,212.25280898876403,17.71825165176453,,16.492045816535136,14.036280890733634,,3.823335530652604,4.597701149425287,11.979331435199825,-6.880733944954143,396.94,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Tesla Inc,5,"글로벌AI인공지능,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",8.04,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-09-24
META,Meta Platforms,764.71,2550.0,228250.0,38.08,1950000.0,29.85,25.4,10.54,0.27,0.43,23.07,1.15,-0.12,FY 2026,FY 2025,254120.0,87260.0,80690.0,79228.07338729715,31.07,22.347008938803576,24.612487930479563,0.9306437816347088,5.1500703388199405,1.0515282869113523,2.949523658415185,,34.33810798048167,41.43902074936558,26.446733343285068,4.779058597502406,761.01,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.84,5.1500703388199405,탈락,PEG영익>1,,2026-09-24
AMZN,Amazon,246.58,10790.0,775680.0,12.08,2660000.0,30.56,11.94,11.23,,0.46,27.09,1.3,,FY 2026,FY 2025,828280.0,109870.0,140100.0,138836.07754075754,12.87,24.21043050878311,19.15928515928516,1.233447801400387,0.5126663188489886,1.2790269692230574,0.9401808661013501,,13.264837977495533,11.156056463761647,15.53311387602523,37.37184296074019,328.22,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.77,0.5126663188489886,탈락,PEG매출>1,,2026-09-24
LLY,Eli Lilly,1189.19,891.36,79670.0,49.72,1060000.0,102.29,42.24,6.67,0.58,1.62,27.63,1.28,,FY 2026,FY 2025,88430.0,41120.0,31570.0,32900.209386220864,36.91,25.77821011673152,32.21863993497698,0.9032305165427099,0.837910338063762,1.280694738775785,0.8028497942430338,,46.50005654189754,45.56612457809143,35.670451058606915,38.45117845117845,1325.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",11.24,0.837910338063762,탈락,fPER>30,,2026-09-24
MSFT,Microsoft,493.64,7430.0,331840.0,46.78,3670000.0,34.04,26.18,10.06,0.79,0.29,25.33,1.58,-3.2,FY 2027,FY 2026,391040.0,182180.0,146970.0,146907.0577748967,19.76,20.14491162586453,24.981781376518217,1.400330123645914,1.4395589238643982,1.3384892044527688,1.4641062933033742,,46.588584288052374,46.78158148505304,17.839922854387645,17.353774800309196,576.4,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.79,1.4395589238643982,탈락,"PEG매출>1,PEG영익>1",,2026-09-24
AAPL,Apple,337.0,14590.0,466820.0,33.17,4920000.0,148.75,101.57,10.05,0.32,0.78,36.61,3.29,,FY 2026,FY 2025,477830.0,156380.0,129930.0,128912.75964391691,8.83,31.461823762629493,38.16534541336353,2.5754645933558242,2.176553453599666,3.020537380817221,2.8522261578129178,,32.72712052403575,31.970876585928487,14.818819684736638,17.534761367906793,328.22,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.19,2.176553453599666,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-24
INTC,Intel,124.12,5250.0,57030.0,7.82,651610.0,-10.72,3.42,15.45,,0.49,72.8,1.05,,FY 2026,FY 2025,63080.0,9710.0,-11810.0,7979.755075733161,1.52,67.10710607621009,81.65789473684211,4.218592118125226,,4.881598737051316,0.6722641913477085,,15.39315155358275,1.7540208136234625,19.356669820245976,947.4649406688242,116.37,USD,,기저효과→PEG(영익)1y 산출불가,반도체,Stock Lists Top Stocks Corporate Actions,Intel Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.73,0.6722641913477085,탈락,"PEG매출>1,ROE<10,fPER>30,전년이익률<5",기저효과,2026-09-24
BE,Bloom Energy,259.88,294.53,3110.0,11.74,76540.0,22.21,22.93,24.41,,1.72,73.6,,,FY 2026,FY 2025,4120.0,649.9,657.27,798.1506849315069,2.71,117.77196491767965,95.89667896678966,0.922434721490072,0.15111374860965537,1.1506565802708977,0.6199168970517852,,15.774271844660193,4.379702970297029,103.96039603960396,634.5992991974681,280.24,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Bloom Energy Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.66,0.6199168970517852,탈락,"fPER>30,전년이익률<5","기저효과,PER괴리",2026-09-24
DELL,Dell Technologies,535.03,635.81,151200.0,9.9,340180.0,,29.36,11.23,0.47,,19.54,0.51,,FY 2027,FY 2026,193510.0,20830.0,15870.0,16467.60368577463,25.9,16.33125300048008,20.657528957528957,0.2932919642163108,0.14874785508641825,0.5105793584247292,0.3031526451348639,,10.764301586481318,7.6801127355997885,70.43332746168751,138.87614678899084,577.36,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.6,0.14874785508641825,탈락,ROE<10,,2026-09-24
