종목코드,현재가,시총(억),네이버업종,배당수익률(사이트),52주고가,52주저가,추정PER(사이트),목표주가,외인비율,기업,순이익(E),당기순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),부채비율,매출증가율1y,영익증가율1y,배당수익률,괴리율(목표주가),추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
009150,1489000.0,1112189.0,282,0.16,2417000.0,188600.0,74.7,2355500.0,37.7,삼성전기,16107.0,16107.0,19535.0,56.93314563603788,69.0500403551251,71.69,2.58346840910705,0.60626227510417,3.83164927176557,1.0955400128419346,3.9997872790287823,1.585811604025571,13.624063716122913,15.0,48.98,26.72765036015732,113.89466768860177,0.16,58.19341840161183,2026.12(E),8.071943081886076,2025.12,순이익=당기순이익 대체;,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.37,반도체,전자부품,삼성전기,0.60626227510417,탈락,"PEG매출>1,fPER>30",,2026-09-22
005930,277500.0,16223423.0,278,0.6,380000.0,82400.0,5.79,487045.0,46.56,삼성전자,3238863.0,3238863.0,3877836.0,4.183627930629351,5.008987104425226,5.71,0.04150638745807941,0.006345393726838369,0.08877134284003425,0.020509333806713034,0.12021509482147856,0.017307561247384334,52.673589774099796,56.17,29.94,120.67991003756227,789.389487879893,0.6,75.51171171171171,2026.12(E),13.069642952957366,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",27.25,반도체,메모리,삼성전자,0.020509333806713034,통과,,기저효과,2026-09-22
000660,1841000.0,13448364.0,278,0.16,3002000.0,333000.0,5.28,3305652.0,50.17,SK하이닉스,2526171.0,2526171.0,2649257.0,5.07627761293072,5.323615859733961,5.35,0.020956775010345933,0.011542756748335669,0.04160914481530527,0.02255834470540972,0.04475432337613706,,77.02965368512902,101.97,45.95,254.02839211213558,461.20835566439223,0.16,79.55741444866919,2026.12(E),48.59279831430198,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",24.61,반도체,메모리,SK하이닉스,0.02255834470540972,통과,,기저효과,2026-09-22
214450,323500.0,33611.0,281,1.14,621000.0,254500.0,16.79,524667.0,12.87,파마리서치,2242.0,2242.0,2726.0,12.329787234042554,14.991525423728813,16.87,0.4929463571272692,0.5522651290115907,0.3626349332482063,0.3187664778167258,0.38540909012184693,0.344834921107953,38.976265370317414,28.66,44.21,30.412082789483506,27.145522388059696,1.14,62.184544049459035,2026.12(E),39.97762446391945,2025.12,순이익=당기순이익 대체;,4,"K바이오,K컬처,코리아밸류업,코스닥",8.03,바이오·헬스케어,미용의료·의료기기,파마리서치,0.5522651290115907,통과,,,2026-09-22
005380,362000.0,736549.0,273,2.76,787000.0,211000.0,9.63,694000.0,24.43,현대차,109997.0,109997.0,113600.0,6.483705985915493,6.696082620435103,9.55,1.701142374482132,,1.3111886338906245,,1.1210943298247673,,5.8681959791493075,8.33,188.95,3.936227044178797,-0.9408871720192891,2.76,91.71270718232046,2026.12(E),6.157112982505121,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.83,자동차,완성차,현대차,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",,2026-09-22
034730,588000.0,426316.0,313,1.36,920000.0,203500.0,3.88,845667.0,30.29,SK,319738.0,319738.0,115600.0,3.687854671280277,1.333329163252413,3.79,0.06451868012639596,,0.13979743402486694,0.011143375797633106,0.28038060361470446,0.038678258617327814,7.80759808970498,35.43,149.17,20.665784864791735,535.6887544679681,1.36,43.82091836734694,2026.12(E),1.4820302306457935,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.24,지주·소재,지주,SK,0.011143375797633106,탈락,"이익률<10,전년이익률<5","기저효과,PER괴리",2026-09-22
003230,1254000.0,94464.0,268,0.38,1587000.0,981000.0,16.7,1864615.0,18.47,삼양식품,5659.0,5659.0,7338.0,12.873262469337694,16.692701890793426,16.99,0.4971871366105367,0.4174768287764273,0.479248446054423,0.3634734206723789,0.438204039742429,0.23606886855932235,23.359011905519832,37.36,72.74,33.57428352751084,39.98473864937046,0.38,48.693381180223284,2026.12(E),22.28931031550302,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",2.52,소비재·식품,음식료,삼양식품,0.4174768287764273,통과,,,2026-09-22
006400,531000.0,427909.0,283,,820000.0,200500.0,53.07,715895.0,25.48,삼성SDI,10157.0,10157.0,3986.0,107.35298544907175,42.12946736241016,53.27,2.11559485467613,,,8.87751306206428,,,2.5055630288020314,3.67,79.27,19.91376906088176,,,34.82015065913371,2026.12(E),-12.982881952557909,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,3,"K신재생에너지,K이노베이션,코스피",11.5,2차전지·에너지,셀,삼성SDI,8.87751306206428,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-09-22
128940,504000.0,64567.0,261,0.4,648000.0,302000.0,24.56,668333.0,12.5,한미약품,2845.0,2845.0,3665.0,17.61718963165075,22.694903339191566,24.61,1.6550595154287913,0.5382471095532276,2.678144936467716,0.7515005888900173,3.994913787974613,1.2321008700580112,20.827413763709725,19.06,50.23,13.7124394184168,42.16446858029481,0.4,32.60575396825396,2026.12(E),16.65912762520194,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코리아밸류업",10.88,바이오·헬스케어,제약,한미약품,0.5382471095532276,탈락,PEG매출>1,,2026-09-22
068270,178300.0,414756.0,261,0.4,258500.0,145200.0,26.19,276200.0,25.32,셀트리온,16084.0,16084.0,18570.0,22.334733441033926,25.786868938075106,26.65,0.7794484202653228,0.4376464248967431,1.0402225213427287,0.2735197637049957,0.7057971539293824,0.6171215575010449,33.52227597660481,8.93,28.71,33.08348348348349,58.921694480102694,0.4,54.90745933819405,2026.12(E),28.072072072072075,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코스피",10.85,바이오·헬스케어,바이오시밀러·CDMO,셀트리온,0.4376464248967431,탈락,ROE<10,,2026-09-22
226950,102800.0,23388.0,262,,225500.0,84000.0,,,9.73,올릭스,,,,,,,,,,,,,,,30.18,,,,,2026.12(E),-204.08163265306123,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,3,"K바이오,K컬처,코스닥",10.52,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,기저효과,2026-09-22
196170,249500.0,173790.0,286,0.11,569000.0,250500.0,57.29,438000.0,15.21,알테오젠,3129.0,3129.0,3127.0,55.57723057243364,55.54170661553212,58.56,0.4336873221805925,0.2885038113314083,0.46771314137127457,0.2213957643092434,0.7697106432671078,,63.505280259951256,51.62,53.76,128.06855025474758,192.51637043966326,0.11,75.55110220440882,2026.12(E),49.51366373320982,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코스닥",9.31,바이오·헬스케어,신약·플랫폼,알테오젠,0.2213957643092434,탈락,fPER>30,기저효과,2026-09-22
005490,317500.0,251592.0,304,3.15,542000.0,257000.0,13.43,507053.0,32.36,POSCO홀딩스,20974.0,20974.0,30929.0,8.134501600439716,11.995422904548489,13.41,1.821387860779007,,18.276108092498056,0.6219433388348008,,,4.199719194953113,3.33,68.64,6.585869579375614,69.2791855946582,3.15,59.70173228346456,2026.12(E),2.644334097017291,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,3,"K신재생에너지,K이노베이션,코스피",9.18,지주·소재,철강·비철,POSCO홀딩스,0.6219433388348008,탈락,"PEG매출>1,ROE<10,이익률<10,전년이익률<5",기저효과,2026-09-22
373220,352000.0,823680.0,283,,527000.0,290500.0,-274.14,519667.0,5.55,LG에너지솔루션,-5176.0,-5176.0,8494.0,96.9719802213327,,-274.14,,,,,,,2.6304950372400553,-1.46,129.0,36.4091450586774,-36.89919025332442,,47.63267045454545,2026.12(E),5.686513066180011,2025.12,순이익=당기순이익 대체;,3,"K신재생에너지,K이노베이션,코스피",8.5,2차전지·에너지,셀,LG에너지솔루션,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30",,2026-09-22
207940,1392000.0,644370.0,261,,1987000.0,982000.0,34.38,1997143.0,13.2,삼성바이오로직스,18765.0,18765.0,24162.0,26.66873603178545,34.33892885691447,34.63,1.6680790832636105,2.04766892192298,1.3544473335233016,0.9749117565400518,2.42707356603926,1.1657776994488112,43.97008243708031,21.05,48.44,20.585911784068458,16.76976609317611,,43.47291666666666,2026.12(E),45.40706605222734,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코스피",8.15,바이오·헬스케어,바이오시밀러·CDMO,삼성바이오로직스,2.04766892192298,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-22
402340,1134000.0,1496018.0,278,,2338000.0,193600.0,3.25,1956000.0,46.7,SK스퀘어,459158.0,459158.0,496238.0,3.014718743828566,3.2581769238475644,3.23,0.12889214772977897,0.007020821250430251,0.06618221031771696,0.012738722306032266,0.04116991997703577,,378.84812117325515,97.48,9.01,25.278319752094582,464.0734762543479,,72.4867724867725,2026.12(E),84.14055625693409,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",7.28,반도체,지주(하이닉스),SK스퀘어,0.012738722306032266,통과,,기저효과,2026-09-22
105560,176200.0,624960.0,301,2.48,195900.0,109200.0,9.57,226278.0,78.94,KB금융,67343.0,67343.0,94483.0,6.6145232475683455,9.280251845032149,9.64,,0.8494132940084922,,1.1088627121397028,,0.6650434484990745,,11.02,1211.73,,10.92548457917044,2.48,28.4211123723042,2026.12(E),10.4858138610156,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",4.39,금융,은행,KB금융,0.8494132940084922,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-22
278470,362000.0,135526.0,266,1.41,475000.0,204000.0,23.03,536000.0,38.06,에이피알,5908.0,5908.0,7659.0,17.694999347173262,22.939404197698035,23.29,0.22520635103904485,0.20939940645001578,0.21533805287332036,0.15309161265833257,0.28477703838719154,0.24291938744410316,24.84268569575089,90.41,73.11,101.85949060433445,109.5485636114911,1.41,48.06629834254144,2026.12(E),23.93112027761409,2025.12,순이익=당기순이익 대체;,3,"K컬처,코리아밸류업,코스피",3.86,화장품·뷰티,브랜드·디바이스,에이피알,0.20939940645001578,통과,,,2026-09-22
055550,112800.0,529540.0,301,2.3,116500.0,68100.0,9.06,137556.0,61.76,신한지주,59921.0,59921.0,80830.0,6.5512804651738215,8.837302448223495,9.09,,0.5857673651835871,,0.7445058310139402,,0.8988922842426553,,9.91,1201.94,,15.086710140387849,2.3,21.946808510638306,2026.12(E),10.858353173989672,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",3.77,금융,은행,신한지주,0.5857673651835871,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-22
010120,211000.0,316500.0,306,0.28,920000.0,146500.0,58.53,297500.0,18.87,LS ELECTRIC,5359.0,5359.0,7200.0,43.958333333333336,59.05952603097593,57.98,1.8612540100566117,0.8577309911310673,2.9707865534708118,1.64394292193609,3.7770119466130105,1.9443476839591214,11.006649850951616,23.77,131.48,31.731040315759795,68.85553470919325,0.28,40.99526066350712,2026.12(E),8.586733255467397,2025.12,순이익=당기순이익 대체;,3,"K신재생에너지,K이노베이션,코스피",2.89,AI·전력인프라,변압기·전력기기,LS ELECTRIC,0.8577309911310673,탈락,"PEG매출>1,fPER>30",,2026-09-22
078930,109600.0,101813.0,313,2.74,133200.0,44000.0,4.11,145600.0,20.15,GS,29960.0,29960.0,51915.0,1.9611480304343638,3.398297730307076,4.25,0.24612639442605097,0.044239345419679915,0.5195285491371742,0.11370160106576781,1.020448450435966,0.2896455126645998,18.113274694448613,15.97,86.04,13.807124336386845,76.81618473485234,2.74,32.84671532846715,2026.12(E),11.658546463840281,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,K신재생에너지,코스피",2.42,지주·소재,지주,GS,0.044239345419679915,통과,,,2026-09-22
000810,652000.0,291102.0,315,2.99,757000.0,419000.0,13.14,778125.0,57.58,삼성화재,24100.0,24100.0,32317.0,9.007704923105486,12.078921161825726,13.12,,0.5609336231472368,,1.1570139939065187,,1.089245343636516,,8.17,352.98,,21.533601594524466,2.99,19.344325153374232,2026.12(E),10.731480920959703,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",1.54,금융,보험,삼성화재,0.5609336231472368,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-22
066970,109300.0,44470.0,283,,225000.0,62500.0,-80.55,179857.0,16.84,엘앤에프,-648.0,-648.0,2056.0,21.629377431906615,,-79.22,,,,,,,5.78177727784027,-8.36,363.06,65.01925843426608,,,64.55352241537054,2026.12(E),-7.2810803285535295,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,3,"K신재생에너지,K이노베이션,코스피",1.2,미분류,283,엘앤에프,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-09-22
000150,1474000.0,238697.0,276,0.27,2489000.0,522000.0,63.29,2164615.0,18.52,두산,9196.0,9196.0,17947.0,13.300105867275867,25.956611570247933,61.48,2.482131562506368,0.37683184584293,2.6541412824680957,0.7699379776941462,5.722742594506855,3.3673880757116152,8.212602388688053,24.9,169.14,10.45738749804135,68.88115178319376,0.27,46.85312075983718,2026.12(E),5.371485182545579,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",0.98,반도체,기판·PCB,두산,0.37683184584293,탈락,"PEG매출>1,이익률<10",PER괴리,2026-09-22
033780,176300.0,183018.0,275,3.4,194900.0,132100.0,14.07,240714.0,51.16,KT&G,13479.0,13479.0,15339.0,11.9315470369646,13.57801023814823,13.87,2.1726467403682865,0.9592414488433111,1.5478902517482707,0.9990403420588415,2.2469954905124494,1.4245727206574057,21.941380938076644,14.2,51.98,6.249525054333782,14.154945300290244,3.4,36.53658536585367,2026.12(E),20.42190373421281,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",0.93,소비재·식품,담배·기호,KT&G,0.9592414488433111,탈락,PEG매출>1,,2026-09-22
036570,223500.0,48151.0,263,0.52,343500.0,176100.0,10.29,365278.0,38.91,NC,4826.0,4826.0,5210.0,9.242034548944337,9.977414007459593,9.5,0.11689445784357691,,0.30199735325310856,,0.6155613643725004,0.17824684224359566,18.65310944828327,13.06,28.56,85.35403809144601,3136.0248447204967,0.52,63.43534675615212,2026.12(E),1.0684186077377398,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,2,"K이노베이션,K컬처",9.22,엔터·게임·콘텐츠,게임,NC,,탈락,"PEG영익>1,전년이익률<5",기저효과,2026-09-22
