종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,229.47,24150.0,302970.0,65.21,5560000.0,117.21,92.03,16.33,0.43,0.17,19.1,0.39,,FY 2027,FY 2026,411350.0,268940.0,243080.0,225578.94278119144,9.31,20.67375622815498,24.647690655209452,0.27237205465871395,0.2319604752459588,0.3217627005340101,0.30797956559082396,,65.37984684575179,60.382513661202175,90.49272946188755,106.25814863103002,325.99,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",9.86,0.2319604752459588,통과,,,2026-09-07
TSLA,Tesla,354.08,3950.0,103620.0,4.13,1400000.0,4.67,5.46,14.25,,0.18,186.01,6.87,,FY 2026,FY 2025,106100.0,4260.0,3810.0,6998.4184365115225,1.77,328.63849765258215,200.045197740113,16.832551997954678,,15.526608399801093,14.217484507182068,,4.015080113100848,4.597701149425287,11.884424760097012,-2.2935779816513735,390.09,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Tesla Inc,5,"글로벌AI인공지능,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.91,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-09-07
AMZN,Amazon,258.51,10790.0,775680.0,12.08,2790000.0,30.56,11.94,11.26,,0.46,27.91,1.34,,FY 2026,FY 2025,828280.0,109810.0,134170.0,135447.3714749913,12.55,25.407522083598945,20.59840637450199,1.3260963988872088,0.5522831182811495,1.3813658084883842,1.007936557065993,,13.257594050321147,11.156056463761647,15.53311387602523,37.29682420605152,328.17,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.69,0.5522831182811495,탈락,PEG매출>1,,2026-09-07
META,Meta Platforms,615.2,2550.0,228250.0,38.08,1570000.0,29.85,25.4,10.44,0.34,0.43,19.06,0.95,-16.32,FY 2026,FY 2025,254200.0,87760.0,80800.0,79520.80624187256,31.16,17.889699179580674,19.743260590500643,0.7454073043157834,3.6701311204841436,0.8479559611366277,2.314298940032746,,34.523996852871754,41.43902074936558,26.486540279643723,5.379442843419779,754.77,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.96,3.6701311204841436,탈락,PEG영익>1,,2026-09-07
LLY,Eli Lilly,1149.36,891.36,79670.0,49.72,1020000.0,102.29,42.24,6.67,0.6,1.62,28.18,1.33,,FY 2026,FY 2025,88180.0,41050.0,31500.0,32578.30444769263,36.71,24.84774665042631,31.309180059929172,0.8872749375244278,0.8192798658853713,1.2543304078194981,0.7883054180793821,,46.552506237242,45.56612457809143,35.286897821417604,38.215488215488215,1315.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",11.81,0.8192798658853713,탈락,fPER>30,,2026-09-07
MSFT,Microsoft,499.7,7430.0,331840.0,46.78,3710000.0,34.04,26.18,10.06,0.73,0.29,25.3,1.57,-1.12,FY 2027,FY 2026,391080.0,182160.0,146920.0,146632.97978787273,19.75,20.366710584101888,25.30126582278481,1.4172808998367505,1.4590521940301313,1.355053633867441,1.5068700708263736,,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,571.38,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.35,1.4590521940301313,탈락,"PEG매출>1,PEG영익>1",,2026-09-07
AAPL,Apple,319.97,14590.0,466820.0,33.17,4670000.0,148.75,101.57,10.04,0.34,0.78,34.73,3.29,,FY 2026,FY 2025,477670.0,156310.0,129940.0,128728.94333843798,8.82,29.876527413473227,36.27777777777778,2.4544561859860172,2.0751325594726273,2.938716152782683,2.772483218856239,,32.72342830824628,31.970876585928487,14.78037293348713,17.48214956783165,324.53,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.88,2.0751325594726273,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-07
GOOGL,Alphabet,338.46,12230.0,445870.0,33.11,4139999.9999999995,48.68,24.93,10.72,0.26,0.19,25.39,1.93,,FY 2026,FY 2025,498080.0,171640.0,251870.0,251976.5998936359,20.6,24.120251689582844,16.430097087378638,0.6949496336286864,0.4976853821960887,0.7050728085356522,0.9548970798444417,,34.46032765820752,32.03256876179128,23.642140800317748,33.01301921884689,428.07,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.07,0.4976853821960887,통과,,비지배괴리,2026-09-07
DELL,Dell Technologies,522.6,646.14,151200.0,9.8,338670.0,,29.05,11.15,0.48,,18.64,0.49,,FY 2027,FY 2026,193530.0,20490.0,15890.0,16771.48794489093,25.88,16.528550512445094,20.19319938176198,0.2866278107019946,0.1496046717153479,0.5081433101826305,0.30291269536896975,,10.58750581305224,7.6801127355997885,70.45094239915448,134.97706422018348,564.46,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.02,0.1496046717153479,탈락,ROE<10,,2026-09-07
SNDK,Sandisk,1733.79,146.42,20250.0,61.58,254770.0,91.64,102.23,,,0.01,8.13,0.21,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31460.705737142333,214.1,6.542629686697484,8.098038299859878,0.057117824999011683,0.03814980642208261,0.11747738397900746,0.08683725291598417,,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2125.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.99,0.08683725291598417,통과,,기저효과(2y),2026-09-07
SNOW,Snowflake,337.18,352.46,5430.0,-22.43,118840.0,-48.06,-15.26,11.3,,1.29,134.11,3.44,,FY 2027,FY 2026,6320.0,919.64,-915.61,782.4449848745477,2.22,129.2244791440129,151.88288288288288,4.3342188529993395,,4.8883240970224895,2.818749485779027,,14.55126582278481,-28.418803418803417,35.04273504273505,,413.29,USD,,기저효과→PEG(영익)1y 산출불가,소프트웨어,Stock Lists Top Stocks Corporate Actions,Snowflake Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.37,2.818749485779027,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30,전년이익률<5",기저효과(2y),2026-09-07
PLTR,Palantir,174.33,2400.0,6160.0,42.8,418930.0,38.1,363.8,13.16,,0.02,91.59,1.57,,FY 2026,FY 2025,8189.999999999999,4940.0,3910.0,3868.9686227270117,1.61,84.80364372469636,108.27950310559007,1.3075260752373146,0.4325045308183626,1.6635540255624162,1.4199214867111842,,60.31746031746032,31.473214285714285,82.81249999999997,250.354609929078,191.68,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Palantir Technologies Inc,4,"글로벌우주테크&방산,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.85,1.4199214867111842,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과(2y),2026-09-07
