종목코드,현재가,시총(억),네이버업종,배당수익률(사이트),52주고가,52주저가,추정PER(사이트),목표주가,외인비율,기업,순이익(E),당기순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),부채비율,매출증가율1y,영익증가율1y,배당수익률,괴리율(목표주가),추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
010170,16250.0,28516.0,294,,31500.0,1272.0,,,4.61,대한광통신,29.0,29.0,37.0,770.7027027027027,983.3103448275862,905.54,21.417728448275856,,63.796117850387496,,239.81761511986025,,1.8190757128810224,3.47,228.6,45.911047345767585,,,,2026.12(E),-15.351506456241031,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,1,코스닥,0.64,AI·전력인프라,광통신,대한광통신,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-09-18
099320,79000.0,8597.0,284,0.13,231000.0,42500.0,,140000.0,11.02,쎄트렉아이,137.0,137.0,183.0,46.978142076502735,62.75182481751825,82.06,3.41667172493277,0.7902081643687482,3.2068257376332014,,2.5104467013687177,,7.472437729685585,4.12,73.42,18.366360560657323,79.41176470588236,0.13,77.21518987341771,2026.12(E),4.9299178347027555,2025.12,순이익=당기순이익 대체;,1,코스닥,0.63,조선·방산·우주,우주·위성,쎄트렉아이,0.7902081643687482,탈락,"PEG매출>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-09-18
347700,24100.0,12450.0,284,,57300.0,7050.0,,50000.0,8.59,스피어,181.0,181.0,142.0,87.67605633802818,68.78453038674033,26.03,0.3770528156520857,1.2273318167045824,0.8840213511626328,,0.1557798315712843,,5.2592592592592595,50.93,49.85,182.42677824267784,56.043956043956044,,107.46887966804981,2026.12(E),9.518828451882845,2025.12,순이익=당기순이익 대체;,1,코스닥,0.63,AI·전력인프라,데이터센터 부품,스피어,1.2273318167045824,탈락,"PEG영익>1,이익률<10,fPER>30",PER괴리,2026-09-18
327260,46000.0,8743.0,284,,126600.0,12110.0,67.31,68000.0,9.27,RF머트리얼즈,161.0,161.0,181.0,48.30386740331492,54.30434782608695,62.84,0.9407861339600468,0.3755627793579845,1.0704884895950244,,1.920647910984005,,17.903066271018794,20.0,48.39,57.7223088923557,144.5945945945946,,47.82608695652173,2026.12(E),11.54446177847114,2025.12,순이익=당기순이익 대체;,1,코스닥,0.62,AI·전력인프라,RF·통신부품,RF머트리얼즈,0.3755627793579845,탈락,fPER>30,,2026-09-18
080580,22700.0,4651.0,278,,27500.0,7530.0,,28000.0,7.19,오킨스전자,248.0,248.0,300.0,15.503333333333334,18.754032258064516,18.93,0.33215396719724016,0.11014272913466462,0.3842381145200065,0.06306850527844717,0.5010095007103345,,20.31144211238998,38.19,88.77,56.46186440677967,170.27027027027026,,23.348017621145377,2026.12(E),11.758474576271187,2025.12,순이익=당기순이익 대체;,1,코스닥,0.58,반도체,테스트·후공정,오킨스전자,0.06306850527844717,통과,,기저효과,2026-09-18
189300,69400.0,7387.0,294,0.29,180200.0,39000.0,17.08,131400.0,22.1,인텔리안테크,431.0,431.0,366.0,20.183060109289617,17.13921113689095,17.2,0.6737628387884805,0.08360590798483392,0.6938135795576233,,1.7962779499915627,0.33823857133561397,9.12945871788476,15.01,86.45,25.438047559449316,204.99999999999997,0.29,89.3371757925072,2026.12(E),3.754693366708386,2025.12,순이익=당기순이익 대체;,1,코스닥,0.56,조선·방산·우주,우주·위성,인텔리안테크,,탈락,"PEG영익>1,이익률<10,전년이익률<5",기저효과,2026-09-18
001820,139300.0,15042.0,283,0.35,196800.0,27750.0,,127000.0,5.24,삼화콘덴서,280.0,280.0,299.0,50.30769230769231,53.72142857142857,51.36,4.779746439361238,0.40765084033613436,10.11837525359589,1.8145364302186882,10.188676866970699,6.670134630075486,9.126984126984127,9.63,21.69,11.239388794567073,131.78294573643413,0.35,-8.829863603732946,2026.12(E),4.380305602716469,2025.12,순이익=당기순이익 대체;,1,코스피,0.55,미분류,283,삼화콘덴서,0.40765084033613436,탈락,"PEG매출>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-09-18
375500,84600.0,33547.0,279,1.03,106600.0,38450.0,7.53,94474.0,23.64,DL이앤씨,4959.0,4959.0,5745.0,5.839338555265448,6.764871949989917,7.29,,0.1396269570477919,,0.14826618012670006,,0.3346769230835743,8.141314514071933,9.05,84.38,-4.671457905544152,48.44961240310077,1.03,11.671394799054369,2026.12(E),5.228034151086134,2025.12,순이익=당기순이익 대체;,1,코스피,0.51,미분류,279,DL이앤씨,0.1396269570477919,탈락,"PEG매출>1,ROE<10,이익률<10",,2026-09-18
448900,52900.0,3420.0,270,,178400.0,13590.0,,,1.71,한국피아이엠,,,,,,,,,,,,,,,50.76,,,,,2026.12(E),4.0650406504065035,2025.12,순이익=당기순이익 대체;,1,코스닥,0.46,반도체,소재·부품,한국피아이엠,,보류,컨센서스 없음,,2026-09-18
139130,18460.0,28616.0,301,3.87,22750.0,13050.0,6.0,24133.0,45.08,iM금융지주,4929.0,4929.0,6314.0,4.532150776053215,5.8056400892676,6.07,,0.7024583610084785,,0.10589174564802534,,1.0142822480858689,,7.56,1435.88,,8.264746227709185,3.87,30.73131094257855,2026.12(E),7.252829250093272,2025.12,순이익=당기순이익 대체;,1,Korea플러스배당,0.44,금융,은행,iM금융지주,0.7024583610084785,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-18
443060,241500.0,108945.0,291,1.63,290500.0,158000.0,31.05,328667.0,30.35,HD현대마린솔루션,3508.0,3508.0,4142.0,26.302510864316755,31.056157354618016,30.92,1.5829059945244512,1.6962185163575292,1.8747516194190936,1.3232473943597147,1.6918716154662463,1.1439309684727363,17.464266138213098,38.34,54.27,19.619710495788567,18.309054555841197,1.63,36.093995859213244,2026.12(E),17.657739446209714,2025.12,순이익=당기순이익 대체;,1,코리아밸류업,0.4,미분류,291,HD현대마린솔루션,1.6962185163575292,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-18
089010,22450.0,3773.0,282,0.98,48900.0,15690.0,,34000.0,7.31,켐트로닉스,340.0,340.0,440.0,8.575,11.097058823529412,10.95,0.4895761245674743,0.12377488687782805,0.6685473941559554,1.2887780721205686,0.8551497859669346,0.3460187453808647,5.626598465473146,13.88,197.67,22.666666666666657,89.65517241379311,0.98,51.44766146993318,2026.12(E),3.6392156862745098,2025.12,순이익=당기순이익 대체;,1,코스닥,0.39,반도체,기판·PCB,켐트로닉스,0.12377488687782805,탈락,"이익률<10,전년이익률<5",,2026-09-18
042700,228000.0,223507.0,278,0.34,426000.0,89400.0,,380000.0,7.06,한미반도체,3457.0,3457.0,3822.0,58.479068550497125,64.65345675441134,62.17,1.5350205232716765,1.2426513018393741,3.06455889078088,2.895292951748929,0.8887872361070054,0.5268834514613662,46.63250366032211,42.53,17.82,42.11895266169585,52.02863961813841,0.34,66.66666666666667,2026.12(E),43.59285590428299,2025.12,순이익=당기순이익 대체;,1,코리아밸류업,0.31,반도체,후공정 장비,한미반도체,1.2426513018393741,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-18
052690,138200.0,51521.0,325,1.0,198000.0,77100.0,90.96,176667.0,11.89,한전기술,570.0,570.0,635.0,81.13543307086614,90.38771929824561,92.83,8.373776566416032,1.145987155388471,194.6992170375337,,50.661247510035366,2.967661815420715,11.0473208072373,9.05,41.7,10.79414032382422,78.87323943661973,1.0,27.8342981186686,2026.12(E),6.842713955281418,2025.12,순이익=당기순이익 대체;,1,코리아밸류업,0.28,미분류,325,한전기술,1.145987155388471,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30",,2026-09-18
