종목코드,종목명,보유ETF수,보유ETF,최대비중
TDY,Teledyne Technologies Inc,1,글로벌우주테크&방산,2.71
CVX,Chevron Corp,1,미국S&P500,2.69
TDG,TransDigm Group Inc,1,글로벌우주테크&방산,2.58
NVS,Novartis AG,1,글로벌바이오,2.57
CAT,Caterpillar Inc,1,미국S&P500,2.24
RKLB,Rocket Lab Corp,1,글로벌우주테크&방산,2.12
ICLR,ICON PLC,1,글로벌바이오,2.09
AMGN,Amgen Inc,1,글로벌바이오,2.07
ABBV,AbbVie Inc,1,글로벌바이오,2.06
SMMT,Summit Therapeutics Inc,1,글로벌바이오,1.93
AXON,Axon Enterprise Inc,1,글로벌우주테크&방산,1.9
ALNY,Alnylam Pharmaceuticals Inc,1,글로벌바이오,1.8
BMY,Bristol-Myers Squibb Co,1,글로벌바이오,1.78
ATI,ATI Inc,1,글로벌우주테크&방산,1.74
ROIV,Roivant Sciences Ltd,1,글로벌바이오,1.72
TGT,Target Corp,1,글로벌소비트렌드,1.7
GPCR,Structure Therapeutics Inc,1,글로벌바이오,1.63
ACN,Accenture PLC,1,글로벌AI인공지능,1.59
IBM,International Business Machines Corp,1,글로벌AI인공지능,1.56
ABNB,Airbnb Inc,1,글로벌소비트렌드,1.55
HONA,Honeywell Aerospace Inc,1,글로벌우주테크&방산,1.53
BKNG,Booking Holdings Inc,1,글로벌소비트렌드,1.49
HON,Honeywell International Inc,1,글로벌우주테크&방산,1.49
VTRS,Viatris Inc,1,글로벌바이오,1.48
ULTA,Ulta Beauty Inc,1,글로벌소비트렌드,1.39
GSK,GSK PLC,1,글로벌바이오,1.35
NEM,Newmont Corp,1,미국S&P500,1.34
ROP,Roper Technologies Inc,1,글로벌AI인공지능,1.3
CW,Curtiss-Wright Corp,1,글로벌우주테크&방산,1.28
HII,Huntington Ingalls Industries Inc,1,글로벌우주테크&방산,1.25
LYV,Live Nation Entertainment Inc,1,글로벌소비트렌드,1.25
WBD,Warner Bros Discovery Inc,1,글로벌소비트렌드,1.24
CMCSA,Comcast Corp,1,글로벌소비트렌드,1.21
KR,Kroger Co/The,1,글로벌소비트렌드,1.21
KTOS,Kratos Defense & Security Solutions Inc,1,글로벌우주테크&방산,1.21
FTAI,FTAI Aviation Ltd,1,글로벌우주테크&방산,1.2
V,Visa Inc,1,미국S&P500,1.2
FWONK,Liberty Media Corp-Liberty Formula One,1,글로벌소비트렌드,1.18
BWXT,BWX Technologies Inc,1,글로벌우주테크&방산,1.08
NEE,NextEra Energy Inc,1,미국S&P500,1.0
CRS,Carpenter Technology Corp,1,글로벌우주테크&방산,0.98
