종목코드,기업,현재가,시총(억),네이버업종,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
214450,파마리서치,337000.0,35013.0,,컨센서스 없음 → 산출불가,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",9.14,바이오·헬스케어,미용의료·의료기기,파마리서치,,보류,컨센서스 없음,,2026-09-15
009150,삼성전기,1315000.0,982222.0,,컨센서스 없음 → 산출불가,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.09,반도체,전자부품,삼성전기,,보류,컨센서스 없음,,2026-09-15
005930,삼성전자,248500.0,14528002.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",26.43,반도체,메모리,삼성전자,,보류,컨센서스 없음,,2026-09-15
000660,SK하이닉스,1689000.0,12338016.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",23.92,반도체,메모리,SK하이닉스,,보류,컨센서스 없음,,2026-09-15
006400,삼성SDI,547000.0,440803.0,,컨센서스 없음 → 산출불가,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",13.31,2차전지·에너지,셀,삼성SDI,,보류,컨센서스 없음,,2026-09-15
005380,현대차,367000.0,751461.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.98,자동차,완성차,현대차,,보류,컨센서스 없음,,2026-09-15
034730,SK,550000.0,398765.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.29,지주·소재,지주,SK,,보류,컨센서스 없음,,2026-09-15
017670,SK텔레콤,88000.0,189015.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K이노베이션,코리아밸류업,코스피",3.15,인터넷·통신,통신,SK텔레콤,,보류,컨센서스 없음,,2026-09-15
078930,GS,114400.0,106272.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",2.54,지주·소재,지주,GS,,보류,컨센서스 없음,,2026-09-15
003230,삼양식품,1271000.0,95745.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",2.23,소비재·식품,음식료,삼양식품,,보류,컨센서스 없음,,2026-09-15
373220,LG에너지솔루션,362000.0,847080.0,,컨센서스 없음 → 산출불가,3,"K신재생에너지,K이노베이션,코스피",9.31,2차전지·에너지,셀,LG에너지솔루션,,보류,컨센서스 없음,,2026-09-15
005490,POSCO홀딩스,329500.0,261101.0,,컨센서스 없음 → 산출불가,3,"K신재생에너지,K이노베이션,코스피",9.3,지주·소재,철강·비철,POSCO홀딩스,,보류,컨센서스 없음,,2026-09-15
196170,알테오젠,260500.0,181452.0,,컨센서스 없음 → 산출불가,3,"K바이오,K이노베이션,코스닥",9.3,바이오·헬스케어,신약·플랫폼,알테오젠,,보류,컨센서스 없음,,2026-09-15
068270,셀트리온,177500.0,412895.0,,컨센서스 없음 → 산출불가,3,"K바이오,K이노베이션,코스피",9.12,바이오·헬스케어,바이오시밀러·CDMO,셀트리온,,보류,컨센서스 없음,,2026-09-15
128940,한미약품,492500.0,63094.0,,컨센서스 없음 → 산출불가,3,"K바이오,K이노베이션,코리아밸류업",9.01,바이오·헬스케어,제약,한미약품,,보류,컨센서스 없음,,2026-09-15
226950,올릭스,107800.0,24525.0,,컨센서스 없음 → 산출불가,3,"K바이오,K컬처,코스닥",8.33,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,,2026-09-15
207940,삼성바이오로직스,1409000.0,652239.0,,컨센서스 없음 → 산출불가,3,"K바이오,K이노베이션,코스피",8.13,바이오·헬스케어,바이오시밀러·CDMO,삼성바이오로직스,,보류,컨센서스 없음,,2026-09-15
402340,SK스퀘어,1001000.0,1320559.0,,컨센서스 없음 → 산출불가,3,"Korea플러스배당,코리아밸류업,코스피",5.87,반도체,지주(하이닉스),SK스퀘어,,보류,컨센서스 없음,,2026-09-15
105560,KB금융,175900.0,623896.0,,컨센서스 없음 → 산출불가,3,"Korea플러스배당,코리아밸류업,코스피",5.1,금융,은행,KB금융,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-15
055550,신한지주,111800.0,524845.0,,컨센서스 없음 → 산출불가,3,"Korea플러스배당,코리아밸류업,코스피",4.91,금융,은행,신한지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-15
278470,에이피알,358000.0,134029.0,,컨센서스 없음 → 산출불가,3,"K컬처,코리아밸류업,코스피",3.76,화장품·뷰티,브랜드·디바이스,에이피알,,보류,컨센서스 없음,,2026-09-15
010120,LS ELECTRIC,195100.0,292650.0,,컨센서스 없음 → 산출불가,3,"K신재생에너지,K이노베이션,코스피",2.76,AI·전력인프라,변압기·전력기기,LS ELECTRIC,,보류,컨센서스 없음,,2026-09-15
