ETF,종목코드,종목명,수량,비중,기준일
글로벌휴머노이드로봇,NVDA,NVIDIA Corp,96,7.66,2026-08-24
글로벌휴머노이드로봇,TER,Teradyne Inc,47,6.63,2026-08-24
글로벌휴머노이드로봇,TSLA,Tesla Inc,30,3.81,2026-08-24
글로벌휴머노이드로봇,HSAI,Hesai Group,500,3.43,2026-08-24
글로벌휴머노이드로봇,ROK,Rockwell Automation Inc,15,2.38,2026-08-24
미국나스닥100,NVDA,NVIDIA Corp,230,7.6,2026-08-24
미국나스닥100,SNDK,Sandisk Corp,20,4.88,2026-08-24
미국나스닥100,AMZN,Amazon.com Inc,106,4.2,2026-08-24
미국나스닥100,MU,Micron Technology Inc,27,4.01,2026-08-24
미국나스닥100,MSFT,Microsoft Corp,52,3.81,2026-08-24
미국나스닥100,SKHY,SK hynix Inc,145,3.6,2026-08-24
미국나스닥100,AAOI,Applied Optoelectronics Inc,170,3.34,2026-08-24
미국나스닥100,NBIS,Nebius Group NV,93,3.12,2026-08-24
미국나스닥100,CRDO,Credo Technology Group Holding Ltd,85,3.0,2026-08-24
미국나스닥100,INTC,Intel Corp,211,2.96,2026-08-24
미국나스닥100,LITE,Lumentum Holdings Inc,22,2.95,2026-08-24
미국나스닥100,COIN,Coinbase Global Inc,109,2.86,2026-08-24
미국나스닥100,HOOD,Robinhood Markets Inc,194,2.81,2026-08-24
미국나스닥100,TSEM,Tower Semiconductor Ltd,80,2.73,2026-08-24
미국나스닥100,DELL,Dell Technologies Inc,40,2.65,2026-08-24
미국나스닥100,GOOGL,Alphabet Inc,51,2.65,2026-08-24
미국나스닥100,AMD,Advanced Micro Devices Inc,37,2.65,2026-08-24
미국나스닥100,BE,Bloom Energy Corp,66,2.04,2026-08-24
미국나스닥100,MRVL,Marvell Technology Inc,51,1.95,2026-08-24
미국나스닥100,MSTR,Strategy Inc,110,1.88,2026-08-24
미국나스닥100,GLW,Corning Inc,72,1.66,2026-08-24
미국나스닥100,CRWV,CoreWeave Inc,118,1.61,2026-08-24
미국나스닥100,VRT,Vertiv Holdings Co,40,1.61,2026-08-24
미국나스닥100,AVGO,Broadcom Inc,28,1.55,2026-08-24
미국나스닥100,TSLA,Tesla Inc,29,1.53,2026-08-24
미국나스닥100,TER,Teradyne Inc,26,1.52,2026-08-24
미국나스닥100,SPCX,Space Exploration Technologies Corp,71,1.45,2026-08-24
미국나스닥100,STX,Seagate Technology Holdings PLC,11,1.43,2026-08-24
미국나스닥100,AAPL,Apple Inc,30,1.42,2026-08-24
미국나스닥100,WDC,Western Digital Corp,19,1.36,2026-08-24
미국나스닥100,META,Meta Platforms Inc,15,1.25,2026-08-24
미국나스닥100,AMAT,Applied Materials Inc,15,1.13,2026-08-24
미국나스닥100,PLTR,Palantir Technologies Inc,40,1.06,2026-08-24
미국나스닥100,COST,Costco Wholesale Corp,7,1.0,2026-08-24
미국나스닥100,WMT,Walmart Inc,62,0.98,2026-08-24
미국나스닥100,ARM,ARM Holdings PLC,25,0.96,2026-08-24
미국나스닥100,LLY,Eli Lilly & Co,5,0.95,2026-08-24
미국나스닥100,ALAB,Astera Labs Inc,20,0.89,2026-08-24
미국나스닥100,GEV,GE Vernova Inc,6,0.88,2026-08-24
미국나스닥100,TSM,Taiwan Semiconductor Manufacturing Co Ltd,13,0.82,2026-08-24
미국나스닥100,QCOM,QUALCOMM Inc,32,0.78,2026-08-24
미국나스닥100,RKLB,Rocket Lab Corp,53,0.59,2026-08-24
미국나스닥100,SIMO,Silicon Motion Technology Corp,14,0.53,2026-08-24
미국나스닥100,LRCX,Lam Research Corp,11,0.52,2026-08-24
미국나스닥100,KLAC,KLA Corp,15,0.43,2026-08-24
미국나스닥100,ASML,ASML Holding NV,1,0.27,2026-08-24
미국S&P500,NVDA,NVIDIA Corp,135,6.42,2026-08-24
미국S&P500,GOOGL,Alphabet Inc,70,5.23,2026-08-24
미국S&P500,MSFT,Microsoft Corp,42,4.43,2026-08-24
미국S&P500,AMZN,Amazon.com Inc,60,3.42,2026-08-24
미국S&P500,AAPL,Apple Inc,49,3.34,2026-08-24
미국S&P500,JPM,JPMorgan Chase & Co,40,3.08,2026-08-24
미국S&P500,JNJ,Johnson & Johnson,52,3.05,2026-08-24
미국S&P500,BRK-B,Berkshire Hathaway Inc,27,2.94,2026-08-24
미국S&P500,CAT,Caterpillar Inc,16,2.86,2026-08-24
미국S&P500,AVGO,Broadcom Inc,35,2.79,2026-08-24
미국S&P500,LLY,Eli Lilly & Co,8,2.18,2026-08-24
미국S&P500,CVX,Chevron Corp,46,2.08,2026-08-24
미국S&P500,UNH,UnitedHealth Group Inc,22,1.86,2026-08-24
미국S&P500,DELL,Dell Technologies Inc,18,1.72,2026-08-24
미국S&P500,MRVL,Marvell Technology Inc,30,1.65,2026-08-24
미국S&P500,NEE,NextEra Energy Inc,86,1.6,2026-08-24
미국S&P500,TSM,Taiwan Semiconductor Manufacturing Co Ltd,17,1.55,2026-08-24
미국S&P500,AMD,Advanced Micro Devices Inc,15,1.54,2026-08-24
미국S&P500,MRK,Merck & Co Inc,43,1.4,2026-08-24
미국S&P500,SNDK,Sandisk Corp,4,1.4,2026-08-24
미국S&P500,KO,Coca-Cola Co/The,69,1.37,2026-08-24
미국S&P500,LITE,Lumentum Holdings Inc,7,1.35,2026-08-24
미국S&P500,MU,Micron Technology Inc,6,1.28,2026-08-24
미국S&P500,COST,Costco Wholesale Corp,6,1.23,2026-08-24
미국S&P500,V,Visa Inc,15,1.2,2026-08-24
미국S&P500,NEM,Newmont Corp,41,1.15,2026-08-24
미국S&P500,SNOW,Snowflake Inc,16,1.13,2026-08-24
미국S&P500,PLTR,Palantir Technologies Inc,29,1.11,2026-08-24
미국S&P500,HOOD,Robinhood Markets Inc,52,1.08,2026-08-24
미국S&P500,META,Meta Platforms Inc,9,1.08,2026-08-24
미국S&P500,GEV,GE Vernova Inc,5,1.06,2026-08-24
미국S&P500,PEP,PepsiCo Inc,34,1.06,2026-08-24
미국S&P500,TSLA,Tesla Inc,14,1.06,2026-08-24
미국S&P500,VRT,Vertiv Holdings Co,18,1.04,2026-08-24
미국S&P500,SBUX,Starbucks Corp,43,0.98,2026-08-24
미국S&P500,LIN,Linde PLC,9,0.95,2026-08-24
미국S&P500,BAC,Bank of America Corp,67,0.91,2026-08-24
미국S&P500,MS,Morgan Stanley,19,0.86,2026-08-24
미국S&P500,RTX,RTX Corp,18,0.84,2026-08-24
미국S&P500,ARM,ARM Holdings PLC,15,0.82,2026-08-24
미국S&P500,WMT,Walmart Inc,36,0.82,2026-08-24
미국S&P500,INTC,Intel Corp,39,0.79,2026-08-24
미국S&P500,CSCO,Cisco Systems Inc,29,0.7,2026-08-24
미국S&P500,GS,Goldman Sachs Group Inc/The,3,0.66,2026-08-24
미국S&P500,AMAT,Applied Materials Inc,6,0.65,2026-08-24
미국S&P500,BE,Bloom Energy Corp,14,0.62,2026-08-24
미국S&P500,ENTG,Entegris Inc,19,0.6,2026-08-24
미국S&P500,ABT,Abbott Laboratories,24,0.6,2026-08-24
미국S&P500,NBIS,Nebius Group NV,12,0.58,2026-08-24
미국S&P500,ETN,Eaton Corp PLC,6,0.55,2026-08-24
미국S&P500,LRCX,Lam Research Corp,8,0.54,2026-08-24
미국S&P500,CEG,Constellation Energy Corp,9,0.54,2026-08-24
미국S&P500,VZ,Verizon Communications Inc,48,0.52,2026-08-24
미국S&P500,CRWV,CoreWeave Inc,26,0.51,2026-08-24
미국S&P500,CRWD,Crowdstrike Holdings Inc,12,0.5,2026-08-24
미국S&P500,PANW,Palo Alto Networks Inc,6,0.46,2026-08-24
미국S&P500,WFC,Wells Fargo & Co,25,0.46,2026-08-24
미국S&P500,CVS,CVS Health Corp,20,0.41,2026-08-24
미국S&P500,VLO,Valero Energy Corp,5,0.37,2026-08-24
글로벌AI인공지능,SNDK,Sandisk Corp,29,5.57,2026-08-24
글로벌AI인공지능,SKHY,SK hynix Inc,232,4.54,2026-08-24
글로벌AI인공지능,STX,Seagate Technology Holdings PLC,39,3.98,2026-08-24
글로벌AI인공지능,BABA,Alibaba Group Holding Ltd,240,3.76,2026-08-24
글로벌AI인공지능,WDC,Western Digital Corp,66,3.72,2026-08-24
글로벌AI인공지능,AMD,Advanced Micro Devices Inc,57,3.21,2026-08-24
글로벌AI인공지능,GOOG,Alphabet Inc,79,3.21,2026-08-24
글로벌AI인공지능,INTC,Intel Corp,284,3.14,2026-08-24
글로벌AI인공지능,AMZN,Amazon.com Inc,100,3.12,2026-08-24
글로벌AI인공지능,NVDA,NVIDIA Corp,115,2.99,2026-08-24
글로벌AI인공지능,SNOW,Snowflake Inc,77,2.97,2026-08-24
글로벌AI인공지능,AAOI,Applied Optoelectronics Inc,149,2.31,2026-08-24
글로벌AI인공지능,COIN,Coinbase Global Inc,105,2.17,2026-08-24
글로벌AI인공지능,LITE,Lumentum Holdings Inc,20,2.11,2026-08-24
글로벌AI인공지능,IBM,International Business Machines Corp,72,2.02,2026-08-24
글로벌AI인공지능,MSTR,Strategy Inc,146,1.97,2026-08-24
글로벌AI인공지능,TSEM,Tower Semiconductor Ltd,72,1.93,2026-08-24
글로벌AI인공지능,CRM,Salesforce Inc,77,1.9,2026-08-24
글로벌AI인공지능,MELI,MercadoLibre Inc,8,1.85,2026-08-24
글로벌AI인공지능,META,Meta Platforms Inc,27,1.77,2026-08-24
글로벌AI인공지능,SAP,SAP SE,66,1.72,2026-08-24
글로벌AI인공지능,NOW,ServiceNow Inc,110,1.71,2026-08-24
글로벌AI인공지능,ARM,ARM Holdings PLC,55,1.66,2026-08-24
글로벌AI인공지능,ASML,ASML Holding NV,7,1.47,2026-08-24
글로벌AI인공지능,ROP,Roper Technologies Inc,28,1.38,2026-08-24
글로벌AI인공지능,TSM,Taiwan Semiconductor Manufacturing Co Ltd,24,1.2,2026-08-24
글로벌AI인공지능,QCOM,QUALCOMM Inc,61,1.18,2026-08-24
글로벌AI인공지능,ACN,Accenture PLC,49,1.07,2026-08-24
글로벌AI인공지능,HOOD,Robinhood Markets Inc,87,0.99,2026-08-24
글로벌AI인공지능,PDD,PDD Holdings Inc,83,0.89,2026-08-24
글로벌AI인공지능,DELL,Dell Technologies Inc,17,0.89,2026-08-24
글로벌AI인공지능,EBAY,eBay Inc,65,0.82,2026-08-24
글로벌바이오,LLY,Eli Lilly & Co,43,12.8,2026-08-24
글로벌바이오,JNJ,Johnson & Johnson,102,6.52,2026-08-24
글로벌바이오,MRK,Merck & Co Inc,167,5.95,2026-08-24
글로벌바이오,MRNA,Moderna Inc,174,5.55,2026-08-24
글로벌바이오,TMO,Thermo Fisher Scientific Inc,36,5.4,2026-08-24
글로벌바이오,BIIB,Biogen Inc,82,4.2,2026-08-24
글로벌바이오,NVS,Novartis AG,108,4.04,2026-08-24
글로벌바이오,ABT,Abbott Laboratories,133,3.63,2026-08-24
글로벌바이오,GILD,Gilead Sciences Inc,99,3.4,2026-08-24
글로벌바이오,RVTY,Revvity Inc,113,3.36,2026-08-24
글로벌바이오,NTRA,Natera Inc,43,3.34,2026-08-24
글로벌바이오,REGN,Regeneron Pharmaceuticals Inc,16,3.16,2026-08-24
글로벌바이오,TEVA,Teva Pharmaceutical Industries Ltd,348,3.06,2026-08-24
글로벌바이오,AMGN,Amgen Inc,29,3.01,2026-08-24
글로벌바이오,MEDP,Medpace Holdings Inc,20,2.93,2026-08-24
글로벌바이오,EXEL,Exelixis Inc,209,2.68,2026-08-24
글로벌바이오,ABBV,AbbVie Inc,41,2.57,2026-08-24
글로벌바이오,GPCR,Structure Therapeutics Inc,196,2.37,2026-08-24
글로벌바이오,BAX,Baxter International Inc,365,2.31,2026-08-24
글로벌바이오,ICLR,ICON PLC,52,2.17,2026-08-24
글로벌바이오,ILMN,Illumina Inc,41,2.09,2026-08-24
글로벌바이오,ROIV,Roivant Sciences Ltd,236,2.08,2026-08-24
글로벌바이오,IONS,Ionis Pharmaceuticals Inc,139,1.95,2026-08-24
글로벌바이오,BMY,Bristol-Myers Squibb Co,120,1.88,2026-08-24
글로벌바이오,SNY,Sanofi SA,159,1.72,2026-08-24
글로벌바이오,ALNY,Alnylam Pharmaceuticals Inc,31,1.7,2026-08-24
글로벌바이오,VTRS,Viatris Inc,365,1.41,2026-08-24
글로벌바이오,GSK,GSK PLC,112,1.39,2026-08-24
글로벌바이오,NVO,Novo Nordisk A/S,25,0.28,2026-08-24
글로벌우주테크&방산,RTX,RTX Corp,310,9.12,2026-08-24
글로벌우주테크&방산,GE,General Electric Co,173,8.26,2026-08-24
글로벌우주테크&방산,MOG-A,Moog Inc,118,6.24,2026-08-24
글로벌우주테크&방산,HWM,Howmet Aerospace Inc,129,4.89,2026-08-24
글로벌우주테크&방산,GD,General Dynamics Corp,89,4.76,2026-08-24
글로벌우주테크&방산,LMT,Lockheed Martin Corp,53,4.2,2026-08-24
글로벌우주테크&방산,NOC,Northrop Grumman Corp,52,4.06,2026-08-24
글로벌우주테크&방산,LHX,L3Harris Technologies Inc,92,3.45,2026-08-24
글로벌우주테크&방산,CRS,Carpenter Technology Corp,42,2.85,2026-08-24
글로벌우주테크&방산,TDG,TransDigm Group Inc,17,2.78,2026-08-24
글로벌우주테크&방산,HONA,Honeywell Aerospace Inc,116,2.67,2026-08-24
글로벌우주테크&방산,TDY,Teledyne Technologies Inc,29,2.55,2026-08-24
글로벌우주테크&방산,CW,Curtiss-Wright Corp,26,2.34,2026-08-24
글로벌우주테크&방산,AXON,Axon Enterprise Inc,26,2.21,2026-08-24
글로벌우주테크&방산,PLTR,Palantir Technologies Inc,91,2.19,2026-08-24
글로벌우주테크&방산,ATI,ATI Inc,60,1.74,2026-08-24
글로벌우주테크&방산,RKLB,Rocket Lab Corp,166,1.68,2026-08-24
글로벌우주테크&방산,HON,Honeywell International Inc,46,1.39,2026-08-24
글로벌우주테크&방산,KTOS,Kratos Defense & Security Solutions Inc,161,1.25,2026-08-24
글로벌우주테크&방산,AVAV,AeroVironment Inc,54,1.2,2026-08-24
글로벌우주테크&방산,HII,Huntington Ingalls Industries Inc,28,1.17,2026-08-24
