종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),EPS(FY2),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,fwd기준,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,214.72,24220.0,253490.0,5200000.0,114.29,104.67,16.39,0.47,0.07,21.39,0.48,,FY 2027,FY 2026,395730.0,261760.0,230630.0,218442.62295081967,9.02,13.04,19.86552567237164,23.804878048780488,0.2859127518690505,0.23627297318874071,0.3810575158925077,0.3643196513491711,,0.5341293532338309,44.56762749445675,eps,66.1461097212746,60.382513661202175,83.25923867741038,100.75159137970707,304.73,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.66,0.23627297318874071,통과,,,2026-08-24
AMZN,Amazon,258.63,10790.0,775680.0,2790000.0,30.56,11.94,11.32,,0.46,27.91,1.34,,FY 2026,FY 2025,828280.0,109650.0,132430.0,134413.6411089201,12.46,10.4,25.444596443228455,20.756821829855536,1.3362949628466254,0.5595317188917581,1.3937481318702891,1.0156882600740833,,,-16.53290529695024,eps,13.238276911189454,11.156056463761647,15.53311387602523,37.09677419354838,327.0,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.75,0.5595317188917581,탈락,PEG매출>1,,2026-08-24
META,Meta Platforms,549.02,2550.0,228250.0,1400000.0,29.85,25.4,10.37,0.38,0.43,17.17,0.88,-26.46,FY 2026,FY 2025,254190.0,88290.0,81590.0,79457.94324432625,31.16,34.7,15.856835428700872,17.619383825417202,0.6653452776012955,2.9288269161292266,0.7571310522963833,2.1680965145205664,,1.5509039548022598,11.360718870346599,eps,34.733860498052636,41.43902074936558,26.4815644125989,6.015850144092227,754.14,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.77,2.9288269161292266,탈락,PEG영익>1,,2026-08-24
LLY,Eli Lilly,1256.51,891.36,79670.0,1120000.0,102.29,42.24,6.72,0.55,1.62,30.78,1.46,,FY 2026,FY 2025,88180.0,41050.0,31500.0,32721.745151252275,36.71,47.23,27.28380024360536,34.22800326886407,0.9699918491585047,0.8956578828945048,1.372278909967395,0.862759265810988,,1.194401140684411,28.65704167801688,eps,46.552506237242,45.56612457809143,35.286897821417604,38.215488215488215,1311.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",12.8,0.8956578828945048,탈락,fPER>30,,2026-08-24
MSFT,Microsoft,482.8,7430.0,331840.0,3590000.0,34.04,26.18,10.01,0.75,0.29,24.49,1.52,-4.45,FY 2027,FY 2026,391080.0,182160.0,146940.0,146708.16072908038,19.73,23.57,19.707949055775142,24.470349721236694,1.3707361329330154,1.4111356206258485,1.3045225582712427,1.4573831157641082,,1.2572916666666667,19.46274708565636,eps,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,569.56,USD,,,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.99,1.4111356206258485,탈락,"PEG매출>1,PEG영익>1",,2026-08-24
AAPL,Apple,309.35,14590.0,466820.0,4510000.0,148.75,101.57,10.04,0.35,0.78,33.78,3.2,,FY 2026,FY 2025,477680.0,156310.0,129940.0,128586.39081946014,8.82,9.54,28.85292047853624,35.07369614512472,2.3726055571773585,2.006257640631488,2.8473458169258024,2.68046280511666,,4.296527777777785,8.163265306122437,eps,32.72274325908558,31.970876585928487,14.78277585544021,17.48214956783165,326.34,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.62,2.006257640631488,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-24
SNDK,Sandisk,1596.08,146.42,20250.0,233700.0,91.64,102.23,,,0.01,7.45,0.19,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31348.785775149117,214.1,264.72,6.001540832049306,7.454834189631013,0.052581118892381755,,0.10814649007158551,0.07994001732282686,,0.31530620308178553,23.643157403082693,eps,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2126.0,USD,,기저효과→PEG(영익)fwd 기준,반도체,Stock Lists Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.57,0.31530620308178553,통과,,기저효과(fwd),2026-08-24
GOOGL,Alphabet,343.53,12230.0,445870.0,4220000.0,48.68,24.93,10.78,0.26,0.19,25.87,1.96,,FY 2026,FY 2025,497860.0,171650.0,251980.0,252932.20388321255,20.59,14.81,24.584911156422955,16.684312773190868,0.7073361984374036,0.5052672424906239,0.727789705455375,0.9786562706551942,,,-28.071879553181155,eps,34.4775639738079,32.03256876179128,23.587528547314072,33.02076875387478,428.07,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.23,0.5052672424906239,통과,,비지배괴리,2026-08-24
TSLA,Tesla,361.66,3950.0,103620.0,1430000.0,4.67,5.46,14.16,,0.18,190.62,7.04,,FY 2026,FY 2025,106030.0,4290.0,3840.0,6998.562185478073,1.77,2.16,333.3333333333333,204.3276836158192,17.300351997578694,,15.899349127218386,14.521846607736858,,9.27333333333333,22.033898305084755,eps,4.04602470998774,4.597701149425287,11.810608457239269,-1.6055045871559592,395.34,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Tesla Inc,4,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.81,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-08-24
WMT,Walmart,103.7,7960.0,735840.0,825250.0,22.31,14.74,7.16,0.95,0.7,34.67,3.71,,FY 2027,FY 2026,752490.0,33740.0,22970.0,23078.35101253616,2.9,3.28,24.459098992294013,35.758620689655174,6.484011678371339,2.7280809595202418,7.136371801141543,3.1191864139298513,,2.728947368421052,13.103448275862073,eps,4.483780515355686,4.182792080318582,5.514891468955074,13.10760978880321,128.43,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Walmart Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.71,2.7280809595202418,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30,전년이익률<5",,2026-08-24
AMD,Advanced Micro Devices,463.4,1630.0,41310.0,772570.0,10.2,9.77,17.86,,0.06,42.61,0.65,,FY 2026,FY 2025,50800.0,14340.0,9360.0,12603.861027190333,7.56,15.47,53.875174337517436,61.2962962962963,1.3139255592225887,0.2162718378756115,1.0426669796869006,0.6618809618078966,,0.5858407079646017,104.62962962962963,eps,28.228346456692915,10.796766743648961,46.6512702078522,283.4224598930481,613.09,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Advanced Micro Devices Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.21,0.5858407079646017,탈락,"PEG매출>1,fPER>30","기저효과(fwd),비지배괴리",2026-08-24
INTC,Intel,90.07,5250.0,57030.0,473280.0,-10.72,3.42,15.15,,0.49,54.21,0.78,,FY 2026,FY 2025,62990.0,9610.0,-11800.0,7934.415454646387,1.51,2.04,49.248699271592095,59.64900662251655,3.1089250493096636,,3.7082153857828026,0.49546781536722434,,1.6994339622641506,35.099337748344375,eps,15.256389903159231,1.7540208136234625,19.18637653736992,936.6774541531823,114.88,USD,,기저효과→PEG(영익)fwd 기준,반도체,Stock Lists Top Stocks Corporate Actions,Intel Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.14,1.6994339622641506,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30,전년이익률<5",기저효과(fwd),2026-08-24
LITE,Lumentum Holdings,866.71,89.7,3010.0,77740.0,-240.03,16.03,12.33,,0.36,40.08,0.33,,FY 2027,FY 2026,6270.0,2570.0,1950.0,1939.2170391480427,21.62,33.01,30.249027237354085,40.088344125809435,0.37014084606959013,,0.5244712415896341,0.42142746726013225,,0.7609394205443374,52.682701202590174,eps,40.98883572567783,17.813953488372096,108.30564784053158,379.2987691160015,1148.0,USD,,기저효과→PEG(영익)fwd 기준,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Lumentum Holdings Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.95,0.7609394205443374,탈락,"ROE<10,fPER>30",기저효과(fwd),2026-08-24
