종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,214.72,24220.0,253490.0,5200000.0,114.29,104.67,16.39,0.47,0.07,21.42,0.48,,FY 2027,FY 2026,395230.0,261310.0,229240.0,217716.09538002982,8.99,19.89973594581149,23.884315906562847,0.28766686244984,0.2378762565732301,0.38353731428576165,0.36839934903391747,,66.11593249500291,60.382513661202175,83.02769287765119,100.40647288902527,304.73,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.69,0.2378762565732301,통과,,,2026-08-23
AMZN,Amazon,258.63,10790.0,775680.0,2790000.0,30.56,11.94,11.32,,0.46,27.91,1.34,,FY 2026,FY 2025,828280.0,109650.0,132430.0,134413.6411089201,12.46,25.444596443228455,20.756821829855536,1.3362949628466254,0.5595317188917581,1.3937481318702891,1.0156882600740833,,13.238276911189454,11.156056463761647,15.53311387602523,37.09677419354838,327.0,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.84,0.5595317188917581,탈락,PEG매출>1,,2026-08-23
META,Meta Platforms,549.02,2550.0,228250.0,1400000.0,29.85,25.4,10.37,0.38,0.43,17.17,0.88,-26.46,FY 2026,FY 2025,254190.0,88290.0,81590.0,79457.94324432625,31.16,15.856835428700872,17.619383825417202,0.6653452776012955,2.9288269161292266,0.7571310522963833,2.1680965145205664,,34.733860498052636,41.43902074936558,26.4815644125989,6.015850144092227,754.14,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.79,2.9288269161292266,탈락,PEG영익>1,,2026-08-23
LLY,Eli Lilly,1254.15,891.36,79670.0,1120000.0,102.29,42.24,6.72,0.55,1.62,30.78,1.46,,FY 2026,FY 2025,88190.0,41030.0,31350.0,32801.18008212733,36.73,27.297099683158663,34.14511298665941,0.967222279213586,0.8950660685823341,1.3682820666313602,0.8574757008098379,,46.52454926862456,45.56612457809143,35.302239950905175,38.14814814814815,1311.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",12.76,0.8950660685823341,탈락,fPER>30,,2026-08-23
MSFT,Microsoft,483.18,7430.0,331840.0,3590000.0,34.04,26.18,10.01,0.75,0.29,24.49,1.52,-4.45,FY 2027,FY 2026,391080.0,182160.0,146940.0,146592.78115816053,19.73,19.707949055775142,24.48960973137354,1.3718150056142802,1.4122462907497875,1.3055493158771727,1.4585301861534834,,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,569.56,USD,,,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.0,1.4122462907497875,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
AAPL,Apple,309.35,14590.0,466820.0,4510000.0,148.75,101.57,10.04,0.35,0.78,33.78,3.2,,FY 2026,FY 2025,477680.0,156310.0,129940.0,128586.39081946014,8.82,28.85292047853624,35.07369614512472,2.3726055571773585,2.006257640631488,2.8473458169258024,2.68046280511666,,32.72274325908558,31.970876585928487,14.78277585544021,17.48214956783165,326.34,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.69,2.006257640631488,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-23
SNDK,Sandisk,1596.08,146.42,20250.0,233700.0,91.64,102.23,,,0.01,7.45,0.19,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31348.785775149117,214.1,6.001540832049306,7.454834189631013,0.052581118892381755,0.03511967598968596,0.10814649007158551,0.07994001732282686,,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2126.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.52,0.07994001732282686,통과,,기저효과,2026-08-23
GOOGL,Alphabet,345.05,12230.0,445870.0,4220000.0,48.68,24.93,10.78,0.26,0.19,25.87,1.96,,FY 2026,FY 2025,497740.0,171500.0,251850.0,251695.696275902,20.58,24.606413994169095,16.76627793974733,0.7117099478659447,0.5095432184043794,0.7336276561517283,0.9926741685023052,,34.455739944549364,32.03256876179128,23.5577400456757,32.9045257284563,428.07,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.25,0.5095432184043794,통과,,비지배괴리,2026-08-23
WMT,Walmart,103.7,7960.0,735840.0,825250.0,22.31,14.74,7.16,0.95,0.7,34.67,3.71,,FY 2027,FY 2026,752490.0,33740.0,22970.0,23078.35101253616,2.9,24.459098992294013,35.758620689655174,6.484011678371339,2.7280809595202418,7.136371801141543,3.1191864139298513,,4.483780515355686,4.182792080318582,5.514891468955074,13.10760978880321,128.43,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Walmart Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.06,2.7280809595202418,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30,전년이익률<5",,2026-08-23
TSLA,Tesla,362.03,3950.0,103620.0,1430000.0,4.67,5.46,14.16,,0.18,190.62,7.04,,FY 2026,FY 2025,106030.0,4290.0,3840.0,6991.409551694611,1.77,333.3333333333333,204.5367231638418,17.318051301452787,,15.91561512062952,14.536703332961828,,4.04602470998774,4.597701149425287,11.810608457239269,-1.6055045871559592,395.34,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Tesla Inc,4,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.83,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-08-23
INTC,Intel,90.07,5250.0,57030.0,473280.0,-10.72,3.42,15.15,,0.49,54.21,0.78,,FY 2026,FY 2025,62990.0,9610.0,-11800.0,7934.415454646387,1.51,49.248699271592095,59.64900662251655,3.1089250493096636,,3.7082153857828026,0.49546781536722434,,15.256389903159231,1.7540208136234625,19.18637653736992,936.6774541531823,114.88,USD,,기저효과→PEG(영익)1y 산출불가,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Intel Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.7,0.49546781536722434,탈락,"PEG매출>1,ROE<10,fPER>30,전년이익률<5",기저효과,2026-08-23
AMD,Advanced Micro Devices,472.45,1630.0,41310.0,772570.0,10.2,9.77,17.86,,0.06,42.61,0.65,,FY 2026,FY 2025,50800.0,14340.0,9360.0,12362.428193459624,7.56,53.875174337517436,62.49338624338625,1.3395859526428833,0.22049553259458923,1.0630298112927843,0.674807208472466,,28.228346456692915,10.796766743648961,46.6512702078522,283.4224598930481,613.09,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Advanced Micro Devices Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.22,0.674807208472466,탈락,"PEG매출>1,fPER>30","기저효과,비지배괴리",2026-08-23
LITE,Lumentum Holdings,866.71,89.7,3010.0,77740.0,-240.03,16.03,12.33,,0.36,40.08,0.33,,FY 2027,FY 2026,6270.0,2570.0,1950.0,1939.2170391480427,21.62,30.249027237354085,40.088344125809435,0.37014084606959013,0.10569067814071698,0.5244712415896341,0.42142746726013225,,40.98883572567783,17.813953488372096,108.30564784053158,379.2987691160015,1148.0,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Lumentum Holdings Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.91,0.42142746726013225,탈락,"ROE<10,fPER>30",기저효과,2026-08-23
DELL,Dell Technologies,440.6,646.14,134000.0,285650.0,,23.97,11.17,0.57,,23.22,0.9,,FY 2027,FY 2026,172410.0,15840.0,10990.0,12110.626418520198,18.68,18.033459595959595,23.58672376873662,0.4549068484291415,0.28887111132497656,0.7571366714280531,0.49825295361290745,,9.187402122846702,7.6801127355997885,51.84956843403206,81.65137614678899,508.78,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.68,0.28887111132497656,탈락,"ROE<10,이익률<10",,2026-08-23
PLTR,Palantir,179.84,2400.0,6160.0,432410.0,38.1,363.8,12.84,,0.02,94.54,1.76,,FY 2026,FY 2025,8189.999999999999,4940.0,3860.0,3847.0640569395023,1.6,87.53238866396761,112.39999999999999,1.3572830188679248,0.4489631728045326,1.7322602397890006,1.488755766483533,,60.31746031746032,31.473214285714285,82.81249999999997,250.354609929078,191.68,USD,,,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Palantir Technologies Inc,4,"글로벌우주테크&방산,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.14,1.488755766483533,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과,2026-08-23
ARM,Arm Holdings,243.32,1070.0,5160.0,259880.0,13.35,14.16,25.7,,0.06,101.94,3.15,,FY 2027,FY 2026,6050.0,2700.0,1350.0,2381.77050797304,2.23,96.25185185185185,109.11210762331838,4.750721854041826,0.5528671524663678,3.7395155205532236,3.465597686259405,,44.62809917355372,18.455284552845526,22.967479674796753,197.35682819383257,285.72,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,ARM Holdings PLC,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.66,3.465597686259405,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과,2026-08-23
TSM,TSMC,75.59,25930.0,139570.0,1960000.0,39.97,53.96,11.0,0.77,0.17,19.34,,,FY 2026,FY 2025,171004.68468468467,100276.64414414414,87074.07657657657,87735.33192936287,3.3836294594594594,19.545927336604613,22.339916620797965,0.522178419173253,0.3467155059547843,0.582904258373259,0.4807340890795774,,58.63970588235294,50.91863517060368,42.78215223097113,64.43298969072167,554.45,TWD,31.812,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Taiwan Semiconductor Manufacturing Co Ltd,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.53,0.3467155059547843,통과,,,2026-08-23
TER,Teradyne,375.74,156.34,4460.0,58740.0,36.46,38.24,14.1,0.14,0.03,38.53,1.05,,FY 2026,FY 2025,5140.0,1670.0,1400.0,1421.0533879810505,9.09,35.17365269461078,41.33553355335534,0.6762069335138643,0.28677084512207934,1.042857796852923,0.5839794595878566,,32.490272373540854,21.44294670846395,61.12852664576802,144.14133883016825,449.8,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Teradyne Inc,3,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국나스닥100",6.49,0.28677084512207934,탈락,fPER>30,,2026-08-23
STX,Seagate Technology,850.0,226.64,12200.0,192650.0,371.53,85.92,15.62,0.35,1.8,23.76,0.35,,FY 2027,FY 2026,18780.0,9880.0,8420.0,8109.431764705882,35.78,19.498987854251013,23.756288429290105,0.44046613805066764,0.17785681425822505,0.5465718100401857,0.26837711594655206,,52.609158679446224,34.67213114754099,53.93442622950819,133.56973995271866,1125.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Seagate Technology Holdings PLC,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",3.93,0.17785681425822505,통과,,,2026-08-23
MU,Micron Technology,966.78,1130.0,90270.0,1090000.0,66.64,67.64,16.34,0.06,0.06,6.72,0.04,,FY 2026,FY 2025,129740.00000000001,98130.0,82630.0,82710.027100271,73.36,11.10771425659839,13.178571428571429,0.053336401039411,0.014637883346273292,0.08607665503899553,0.039678025455302156,,75.63588715893324,26.243980738362758,247.08400214018192,900.3058103975535,1515.0,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Micron Technology Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",3.87,0.039678025455302156,통과,,"기저효과,비지배괴리",2026-08-23
NBIS,Nebius Group,219.13,274.1,1360.0,60060.0,0.6,-4.1,10.65,,0.99,,,,FY 2026,FY 2025,3350.0,-955.79,-609.1,,-2.05,,,,,,,,-28.5310447761194,-115.45866364665913,532.314080785202,,274.57,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,Nebius Group NV,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",3.73,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
WDC,Western Digital,459.44,360.54,12920.0,165650.0,130.85,52.9,16.42,0.13,0.13,22.87,0.33,,FY 2027,FY 2026,19190.0,9400.0,7750.0,7243.401749956468,20.09,17.622340425531913,22.869089099054257,0.47124183598051195,0.22197878936817864,0.5376041726479571,0.2998948799874941,,48.98384575299635,35.8359133126935,48.529411764705884,103.02375809935205,664.92,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Western Digital Corp,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",3.69,0.22197878936817864,통과,,,2026-08-23
AAOI,Applied Optoelectronics,124.82,84.57,595.97,10560.0,-5.45,-5.58,24.41,,0.18,54.24,,,FY 2026,FY 2025,1040.0,47.9,2.8,57.529242108636446,0.68,220.45929018789144,183.55882352941174,1.431701017642629,,1.2963456342837887,,,4.605769230769231,-11.98104099008163,128.2103045729834,,163.4,USD,,기저효과→PEG(영익)1y 산출불가,AI·전력인프라,Stock Lists Top Analysts Top Stocks Corporate Actions,Applied Optoelectronics Inc,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",3.2,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5","기저효과,비지배괴리",2026-08-23
TSEM,Tower Semiconductor,222.59,113.03,1710.0,25160.0,9.98,14.84,9.17,,0.05,43.81,1.01,,FY 2026,FY 2025,1970.0,437.13,402.18,436.3071117300867,3.86,57.55724841580308,57.66580310880829,2.263382772020726,0.4608564780061452,1.8375625050319997,0.8405371533065645,,22.18934010152284,12.367515923566879,25.47770700636942,125.12746562290778,321.32,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Tower Semiconductor Ltd,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",2.77,0.4608564780061452,탈락,"PEG매출>1,ROE<10,fPER>30",비지배괴리,2026-08-23
AVGO,Broadcom,367.65,4760.0,75470.0,1750000.0,37.28,24.22,12.08,0.71,0.74,23.35,0.49,,FY 2026,FY 2025,106040.0,70890.0,44160.0,55358.35713314294,11.63,24.68613344618423,31.612209802235594,0.4791706012490705,0.1872448276021906,0.48766087733018787,0.4566732283590716,,66.85213127121841,41.27406479887306,65.97276569103146,168.82821387940842,526.3,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Broadcom Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",2.76,0.4566732283590716,탈락,fPER>30,"기저효과,비지배괴리",2026-08-23
CRWV,CoreWeave,87.85,551.54,7590.0,48450.0,-43.6,-0.34,,,10.27,,,-4.01,FY 2026,FY 2025,12890.0,1040.0,-2870.0,,-3.94,46.58653846153846,,,,,,,8.068269976726144,-0.3313840155945419,151.2670565302144,,144.17,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,CoreWeave Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",2.17,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
BE,Bloom Energy,201.45,294.53,3110.0,59330.0,22.21,22.93,24.24,,1.72,57.83,,,FY 2026,FY 2025,4130.0,651.4,653.23,798.1350210970464,2.71,91.08074915566472,74.33579335793358,0.7116507231423025,0.11682602878468697,0.8948506028893357,0.4837760238078006,,15.772397094430993,4.379702970297029,104.45544554455446,636.2947891940771,275.08,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Bloom Energy Corp,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",2.09,0.4837760238078006,탈락,"fPER>30,전년이익률<5",기저효과,2026-08-23
HOOD,Robinhood,108.13,899.08,4930.0,97220.0,23.62,7.01,13.77,,2.4,45.75,2.46,,FY 2026,FY 2025,5160.0,2260.0,1880.0,2247.7573291408494,2.5,43.017699115044245,43.251999999999995,2.8019773913043453,5.317451764705876,2.1103809296738287,2.4229278214234515,,43.798449612403104,46.75615212527964,15.436241610738266,8.133971291866038,119.93,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Robinhood Markets Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.85,5.317451764705876,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-23
MRVL,Marvell Technology,237.04,876.93,8720.0,207870.0,16.03,6.87,16.28,0.1,0.29,51.97,1.4,,FY 2027,FY 2026,11550.0,4280.0,1670.0,3551.6094330070873,4.05,48.5677570093458,58.528395061728396,1.4266296296296292,0.2667620727303267,1.3581236969427866,1.2105722972498183,,37.056277056277054,16.361416361416364,41.025641025641036,219.40298507462686,263.94,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Marvell Technology Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.85,1.2105722972498183,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과,2026-08-23
VRT,Vertiv Holdings Co,261.95,384.99,11480.0,100850.0,43.94,37.58,15.21,0.1,0.7,33.52,0.89,,FY 2026,FY 2025,14020.0,3320.0,2320.0,2583.3307883183816,6.71,30.376506024096386,39.03874813710879,1.0537371858644407,0.5223494469049768,1.175906394465883,0.8271619669862849,,23.680456490727533,18.57282502443793,37.04789833822091,74.73684210526316,338.15,USD,,,AI·전력인프라,Stock Lists Top Analysts Top Stocks Corporate Actions,Vertiv Holdings Co,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.6,0.5223494469049768,탈락,"PEG매출>1,fPER>30",,2026-08-23
COST,Costco,947.33,443.48,293590.0,420300.0,29.15,38.44,8.83,0.62,0.25,43.25,4.0,-4.71,FY 2026,FY 2025,301570.0,11650.0,9150.0,9130.687300096057,20.58,36.07725321888412,46.031584062196316,4.811900188864003,3.7622664768944736,5.205552568811209,3.9849395250337802,,3.8631163577278906,3.7712541781717777,9.566196773724744,12.235067437379566,1077.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Costco Wholesale Corp,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.25,3.7622664768944736,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30,전년이익률<5",,2026-08-23
AMAT,Applied Materials,492.32,793.6,30840.0,390700.0,41.07,35.64,12.97,0.43,0.29,27.91,0.94,,FY 2026,FY 2025,34180.0,11340.0,10570.0,10150.0101559961,12.79,34.45326278659612,38.49257232212666,1.8795770684659783,1.1574974927961055,1.417493994226065,0.9737035505082946,,33.17729666471621,29.996475149806134,20.47937962636588,33.254994124559346,641.03,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Applied Materials Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.14,1.1574974927961055,탈락,"PEG매출>1,PEG영익>1,fPER>30",비지배괴리,2026-08-23
GEV,GE Vernova,956.85,266.33,41370.0,254840.0,82.58,41.4,9.79,0.21,0.28,44.68,1.16,,FY 2026,FY 2025,46200.0,4690.0,8390.0,4026.943408057689,15.12,54.336886993603414,63.283730158730165,2.963359910384819,0.5310869903516964,3.6002122728368926,2.820413796647889,,10.151515151515152,5.621224060940373,21.355397951142628,119.15887850467288,1239.0,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,GE Vernova Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.08,0.5310869903516964,탈락,"PEG매출>1,fPER>30",비지배괴리,2026-08-23
LRCX,Lam Research,314.33,1250.0,23230.0,392910.0,65.07,70.07,14.39,0.33,0.33,33.19,1.24,,FY 2027,FY 2026,34760.0,13820.0,11760.0,11824.924760601918,9.46,28.430535455861072,33.22727272727272,0.6694445320507767,0.48481074086056286,1.0515512088223224,0.8117173751748894,,39.758342922899885,35.29918209212226,49.63409384416701,68.53658536585365,368.94,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Lam Research Corp,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",0.54,0.48481074086056286,탈락,fPER>30,,2026-08-23
RTX,RTX Corporation,209.91,1350.0,93500.0,282910.0,12.27,9.4,5.59,1.39,0.57,28.46,2.62,,FY 2026,FY 2025,96140.0,12830.0,8290.0,9757.840979467392,7.24,22.05066250974279,28.993093922651934,3.4068807978076396,1.2160666114926073,3.6655838371663236,2.4600392120259293,,13.345121697524442,11.693002257336344,8.510158013544022,23.841698841698843,232.27,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,RTX Corp,2,"글로벌우주테크&방산,미국S&P500",9.17,1.2160666114926073,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
JNJ,Johnson & Johnson,270.23,2410.0,97930.0,651250.0,25.74,19.92,5.26,1.98,0.58,24.06,2.96,,FY 2026,FY 2025,101120.0,32310.000000000004,21970.0,26630.32416830108,11.05,20.156298359640974,24.4552036199095,3.323860936449171,1.0767650690839743,3.277598033006929,3.5902440761766594,,31.952136075949372,27.95413525852001,7.357468945747958,22.71173566274214,272.5,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Johnson & Johnson,2,"글로벌바이오,미국S&P500",6.47,1.0767650690839743,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
MRK,Merck & Co.,152.38,2470.0,66570.0,376370.0,6.96,14.05,4.95,2.23,1.28,17.7,2.59,,FY 2026,FY 2025,67140.0,12020.0,3260.0,6792.3447959049745,2.75,31.31198003327787,55.41090909090909,16.912033802816968,,13.94248447778008,18.043934987807162,,17.90288948465892,37.640363021073675,3.276419012459608,-50.87862689006948,147.77,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Merck & Co Inc,2,"글로벌바이오,미국S&P500",5.89,,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30",비지배괴리,2026-08-23
SKHY,SK hynix,1281.32,710.08,122160.0,909840.0,92.68,61.59,17.3,,0.08,4.19,,,FY 2026,FY 2025,225573.34461066764,174422.0330919279,164980.89971982874,160760.81527957306,226.3981005825448,5.216313466088744,5.659588118023236,0.021804766246270518,0.011987489571173087,0.04253829247417575,,,77.3238670521886,48.59495625321667,259.5573854863613,472.12454988349936,245.43,KRW,1548.543,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,SK hynix Inc,2,"글로벌AI인공지능,미국나스닥100",4.39,,탈락,PEG영익>1,"기저효과,비지배괴리",2026-08-23
ABT,Abbott Laboratories,116.55,1730.0,46590.0,201830.0,10.58,7.51,6.65,2.16,0.63,20.11,2.33,-11.93,FY 2026,FY 2025,50300.0,11720.0,6230.0,9559.001287001287,5.52,17.22098976109215,21.11413043478261,1.5678214441774094,0.6726358695652174,1.9139849808890814,2.4911197247915133,,23.30019880715706,20.121813670200766,13.46717798330701,31.390134529147986,119.4,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Abbott Laboratories,2,"글로벌바이오,미국S&P500",3.53,0.6726358695652174,탈락,PEG매출>1,,2026-08-23
HSAI,Hesai Group,18.88,156.44,491.29,2990.0,7.49,-0.47,11.53,,0.08,26.0,,-26.28,FY 2026,FY 2025,636.9118862275449,63.37052628742515,80.197944251497,66.51483050847457,0.42,47.18281786770196,44.95238095238095,1.0477362637362642,,1.0672521616829298,1.6056709519431174,,9.949653579676674,-0.7237623762376239,42.90429042904289,,28.98,CNY,6.798,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,Hesai Group,2,"글로벌휴머노이드로봇,차이나AI테크",3.26,1.6056709519431174,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5","기저효과,비지배괴리",2026-08-23
CRDO,CRDO,230.57,186.48,1340.0,43000.0,34.41,73.1,22.01,,0.01,37.48,0.83,,FY 2027,FY 2026,2460.0,1240.0,1010.0,1146.9401916988336,6.15,34.67741935483871,37.4910569105691,0.4485537166085946,0.20986295721672416,0.5685312428473795,0.6012745186054493,,50.40650406504065,33.20970149253731,83.5820895522388,178.64542369834388,283.23,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Credo Technology Group Holding Ltd,2,"나스닥100채권혼합50,미국나스닥100",3.05,0.6012745186054493,탈락,fPER>30,기저효과,2026-08-23
SNOW,Snowflake,332.78,346.6,5030.0,115340.0,-54.87,-16.48,11.22,,1.43,156.93,5.02,,FY 2027,FY 2026,6090.0,824.52,-988.15,672.394975659595,1.94,139.88744966768544,171.5360824742268,5.693538056591357,,6.158825296295866,3.6310619674546802,,13.538916256157634,-28.418803418803417,30.12820512820513,,321.35,USD,,기저효과→PEG(영익)1y 산출불가,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Snowflake Inc,2,"글로벌AI인공지능,미국S&P500",2.99,3.6310619674546802,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30,전년이익률<5",기저효과,2026-08-23
ASML,ASML Holding,1763.39,384.1,40290.0,675210.0,53.94,65.98,11.73,0.44,0.09,30.84,,,FY 2026,FY 2025,49276.27795075007,19637.526181715257,16695.31842626663,14561.858862758663,38.03,34.38365880467655,46.36839337365238,1.4372442234508753,0.885072373517351,1.6012784587243492,1.0477644346882429,,39.851886137468185,34.588307315580046,32.26201408019591,52.38938053097346,2195.0,EUR,0.877,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,ASML Holding NV,2,"글로벌AI인공지능,미국나스닥100",2.12,0.885072373517351,탈락,"PEG매출>1,fPER>30",비지배괴리,2026-08-23
MELI,MercadoLibre,1920.99,50.7,35180.0,97480.0,27.5,14.2,10.23,,1.69,45.65,1.61,-17.69,FY 2026,FY 2025,41670.0,2900.0,1990.0,1991.7282234681074,39.25,33.61379310344827,48.94242038216561,1.1063744325827576,,1.3704202268746302,2.4491932407140546,,6.959443244540436,11.076497057805469,44.2367601246106,-9.375,2257.0,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,MercadoLibre Inc,2,"글로벌AI인공지능,글로벌소비트렌드",1.85,,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30",,2026-08-23
