종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
LIN,Linde,487.51,460.98,35450.0,224760.0,18.4,12.37,7.53,1.31,0.69,26.08,3.0,,FY 2026,FY 2025,36300.0,10800.0,7650.0,8243.336136694632,17.88,20.81111111111111,27.26565995525727,4.011947107702143,2.1410247735357744,4.69780280063585,3.0165606697187903,,29.75206611570248,28.184760223595173,6.796116504854366,12.734864300626313,547.24,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Linde PLC,1,미국S&P500,0.94,2.1410247735357744,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
PSKY,Paramount Skydance,10.17,1120.0,29110.0,11610.0,-0.9,7.17,7.83,1.93,1.26,12.54,0.55,-25.97,FY 2026,FY 2025,29910.0,1770.0,444.03,650.7079646017698,0.57,6.559322033898305,17.842105263157897,5.053513931888534,,6.612813186388589,0.6238073025129952,,5.917753259779338,6.5420560747663545,3.530633437175501,-6.349206349206349,9.81,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Paramount Skydance Corp,1,글로벌소비트렌드,0.94,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",비지배괴리,2026-08-23
BAC,Bank of America,61.69,6990.0,113930.0,431380.0,11.2,,3.77,2.08,,12.4,0.8,,FY 2026,FY 2025,124070.0,50400.0,34050.0,32725.861565893985,4.68,8.559126984126983,13.181623931623932,1.3590170161045285,0.8132105688684633,1.7742091600438448,0.7346023652550479,,40.622229386636576,38.34659593280283,9.699381078691417,16.209361309661062,68.77,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Bank of America Corp,1,미국S&P500,0.92,0.8132105688684633,탈락,PEG매출>1,,2026-08-23
MS,Morgan Stanley,214.28,1570.0,77830.0,336420.0,17.97,3.43,3.89,2.15,5.17,16.39,1.5,,FY 2026,FY 2025,82660.0,27080.0,20340.0,20362.9242113123,12.97,12.423190546528804,16.521202775636084,0.9396768245365836,5.160909057532038,1.5122045187894244,1.063091437255235,,32.76070650858941,37.32574679943101,17.581792318634413,3.2012195121951192,236.62,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Morgan Stanley,1,미국S&P500,0.89,5.160909057532038,탈락,PEG영익>1,,2026-08-23
ULTA,Ulta Beauty,520.0,42.99,12710.0,22420.0,47.45,26.13,8.11,,0.89,17.6,1.88,,FY 2027,FY 2026,13250.0,1650.0,1240.0,1241.291923076923,28.79,13.587878787878788,18.06182702327197,2.6021632188179016,2.3028829454671778,2.938393858201572,1.5841609711579052,,12.452830188679245,12.34866828087167,6.94108151735271,7.843137254901955,623.42,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Ulta Beauty Inc,1,글로벌소비트렌드,0.87,2.3028829454671778,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
EXPE,Expedia Group,321.63,120.02,15700.0,38600.0,89.49,256.54,10.35,0.6,2.3,14.48,0.63,,FY 2026,FY 2025,16200.0,2840.0,2270.0,2504.6855081926437,20.87,13.591549295774648,15.411116435074268,1.5442567693105043,0.4895295808788296,1.8067720042714661,0.6557970684178971,,17.530864197530864,14.663951120162933,9.979633401221989,31.481481481481488,336.23,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Expedia Group Inc,1,글로벌소비트렌드,0.81,0.4895295808788296,탈락,PEG매출>1,,2026-08-23
XYZ,Block,82.16,600.79,25040.0,49360.0,1.61,2.72,16.17,,0.33,17.94,0.71,,FY 2026,FY 2025,26040.0,2230.0,1040.0,2433.1548198636806,4.05,22.134529147982065,20.28641975308642,2.652586453119785,0.7596616758602572,2.1587645019519504,0.4227904504731522,,8.563748079877112,7.275733774286895,7.647788342290207,26.70454545454546,97.98,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Block Inc,1,글로벌소비트렌드,0.77,0.7596616758602572,탈락,"PEG매출>1,ROE<10,이익률<10",,2026-08-23
SPHR,Sphere Entertainment Co.,158.45,35.91,1360.0,5690.0,-3.1,-3.21,11.78,,0.41,,,,FY 2026,FY 2025,1370.0,-90.17,-85.59,,-1.88,,,,,,,,-6.581751824817518,-12.63360655737705,12.295081967213118,,178.77,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,Sphere Entertainment Co,1,글로벌소비트렌드,0.76,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
ACHR,Archer Aviation,6.28,770.02,6.9,4850.0,-44.47,-30.71,21.43,,0.07,,,-31.74,FY 2026,FY 2025,15.13,-1010.0,-1030.0,,-0.96,,,,,,,,-6675.4791804362185,-243100.0,4943.333333333334,,10.61,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,Archer Aviation Inc,1,글로벌우주테크&방산,0.75,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
ETSY,"Etsy, Inc.",81.03,91.78,2940.0,7440.0,,26.36,10.25,,,13.16,1.09,,FY 2026,FY 2025,2850.0,537.3,281.87,543.5616438356165,5.92,13.847012841987718,13.6875,,0.29728839512367927,8.827911026538155,0.3439435951479634,,18.852631578947367,12.774652777777778,-1.041666666666663,46.041151368541186,87.04,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Etsy Inc,1,글로벌소비트렌드,0.75,0.29728839512367927,탈락,"PEG매출>1,ROE<10",,2026-08-23
