종목코드,현재가,시총(억),네이버업종,배당수익률(사이트),52주고가,52주저가,추정PER(사이트),목표주가,외인비율,기업,순이익(E),당기순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),부채비율,매출증가율1y,영익증가율1y,배당수익률,괴리율(목표주가),추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
009150,1388000.0,1067373.0,282,0.16,2417000.0,188600.0,71.69,2355500.0,37.71,삼성전기,16107.0,16107.0,19535.0,54.63900691067315,66.26764760663066,69.63,2.4793667499263337,0.5818327490784059,3.6772517783867955,1.0513948889326672,3.8386146126052214,1.5219108346005812,13.624063716122913,15.0,48.98,26.72765036015732,113.89466768860177,0.16,69.70461095100863,2026.12(E),8.071943081886076,2025.12,순이익=당기순이익 대체;,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.2,반도체,전자부품,삼성전기,0.5818327490784059,탈락,"PEG매출>1,fPER>30",,2026-09-21
005930,260000.0,16048035.0,278,0.61,380000.0,79900.0,5.72,487045.0,46.46,삼성전자,3238863.0,3238863.0,3877836.0,4.138399612567421,4.9548360026342575,5.44,0.041057670668564784,0.006276795015274063,0.087811654599271,0.0202876117300778,0.1189154748183171,0.01712045285773954,52.673589774099796,56.17,29.94,120.67991003756227,789.389487879893,0.61,87.325,2026.12(E),13.069642952957366,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",26.36,반도체,메모리,삼성전자,0.0202876117300778,통과,,기저효과,2026-09-21
000660,1849000.0,13718647.0,278,0.16,3002000.0,333000.0,5.38,3305652.0,50.23,SK하이닉스,2526171.0,2526171.0,2649257.0,5.178299802548413,5.4306090126123685,5.32,0.02137796081555773,0.011774741168314963,0.04244539854015352,0.023011718594011507,0.04565378838058462,,77.02965368512902,101.97,45.95,254.02839211213558,461.20835566439223,0.16,78.78053001622499,2026.12(E),48.59279831430198,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",24.83,반도체,메모리,SK하이닉스,0.023011718594011507,통과,,기저효과,2026-09-21
006400,542000.0,431938.0,283,,820000.0,200500.0,55.25,704842.0,25.57,삼성SDI,9919.0,9919.0,3895.0,110.89550706033376,43.54652686762778,55.77,2.17440892767796,,,12.29062440869832,,,2.4460549122057826,3.56,79.27,20.026834103431913,,,30.044649446494475,2026.12(E),-12.982881952557909,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",13.59,2차전지·에너지,셀,삼성SDI,12.29062440869832,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-09-21
214450,327000.0,33870.0,281,1.14,621000.0,254500.0,17.0,518750.0,12.56,파마리서치,2235.0,2235.0,2717.0,12.465955097534044,15.154362416107382,17.07,0.5038614112683442,0.5670323389203181,0.3681947826959608,0.3239018808365778,0.39079354540978223,0.34985253117586573,38.94782110091743,28.59,44.21,30.076449748275213,26.725746268656714,1.14,58.63914373088686,2026.12(E),39.97762446391945,2025.12,순이익=당기순이익 대체;,4,"K바이오,K컬처,코리아밸류업,코스닥",7.99,바이오·헬스케어,미용의료·의료기기,파마리서치,0.5670323389203181,통과,,,2026-09-21
005380,366500.0,739176.0,273,2.77,787000.0,211000.0,9.61,694000.0,24.36,현대차,109997.0,109997.0,113600.0,6.506830985915493,6.7199650899569985,9.71,1.707209725083062,,1.3158651625957487,,1.125092861904031,,5.8681959791493075,8.33,188.95,3.936227044178797,-0.9408871720192891,2.77,89.35879945429741,2026.12(E),6.157112982505121,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.87,자동차,완성차,현대차,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",PER괴리,2026-09-21
034730,550000.0,418341.0,313,1.39,920000.0,203500.0,3.81,845667.0,30.27,SK,319738.0,319738.0,115600.0,3.6188667820069202,1.3083868667471492,3.6,0.0633117433142472,,0.13718227405820296,0.01093491910826155,0.27513558509832864,0.0379547129083392,7.80759808970498,35.43,149.17,20.665784864791735,535.6887544679681,1.39,53.75763636363637,2026.12(E),1.4820302306457935,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.12,지주·소재,지주,SK,0.01093491910826155,탈락,"이익률<10,전년이익률<5","기저효과,PER괴리",2026-09-21
003230,1296000.0,96498.0,268,0.38,1587000.0,981000.0,17.06,1864615.0,18.54,삼양식품,5659.0,5659.0,7338.0,13.15044971381848,17.052129351475525,17.31,0.5078925760992925,0.4264659449448221,0.4895676294393601,0.3712997347988993,0.44763945447011466,0.24115190631603034,23.359011905519832,37.36,72.74,33.57428352751084,39.98473864937046,0.38,43.87461419753087,2026.12(E),22.28931031550302,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",2.03,소비재·식품,음식료,삼양식품,0.4264659449448221,통과,,,2026-09-21
226950,112000.0,24229.0,262,,225500.0,84000.0,,,9.22,올릭스,,,,,,,,,,,,,,,30.18,,,,,2026.12(E),-204.08163265306123,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,3,"K바이오,K컬처,코스닥",10.98,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,기저효과,2026-09-21
128940,505000.0,64952.0,261,0.39,648000.0,302000.0,24.71,668333.0,12.54,한미약품,2845.0,2845.0,3665.0,17.722237380627558,22.830228471001757,24.51,1.6649283015492564,0.5414565685210904,2.6941141746317943,0.7559816353490854,4.01873465325208,1.239447639072714,20.827413763709725,19.06,50.23,13.7124394184168,42.16446858029481,0.39,32.34316831683168,2026.12(E),16.65912762520194,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코리아밸류업",10.75,바이오·헬스케어,제약,한미약품,0.5414565685210904,탈락,PEG매출>1,,2026-09-21
