종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,223.67,24150.0,302970.0,65.21,5400000.0,117.21,92.03,16.33,0.45,0.17,18.56,0.36,,FY 2027,FY 2026,411310.0,268880.0,242390.0,224768.63236017348,9.31,20.08330853912526,24.02470461868958,0.26554203385165726,0.2261954823619708,0.3113157944906041,0.2988917311977776,,65.37161751476988,60.382513661202175,90.47420579790683,106.21213283227245,327.65,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",10.2,0.2261954823619708,통과,,,2026-09-10
TSLA,Tesla,367.81,3950.0,103620.0,4.13,1450000.0,4.67,5.46,14.26,,0.18,193.22,7.14,,FY 2026,FY 2025,106100.0,4260.0,3810.0,6977.787444604552,1.77,340.3755868544601,207.80225988700565,17.485260252958962,,16.128676670613533,14.76878947296271,,4.015080113100848,4.597701149425287,11.884424760097012,-2.2935779816513735,390.09,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Tesla Inc,5,"글로벌AI인공지능,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.7,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-09-10
AMZN,Amazon,252.4,10790.0,775680.0,12.08,2720000.0,30.56,11.94,11.24,,0.46,27.25,1.31,,FY 2026,FY 2025,828280.0,109810.0,134170.0,135245.64183835182,12.55,24.77005737182406,20.111553784860558,1.2947535146769236,0.5392296586366567,1.348716606949318,0.9841135236681623,,13.257594050321147,11.156056463761647,15.53311387602523,37.29682420605152,328.17,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.78,0.5392296586366567,탈락,PEG매출>1,,2026-09-10
META,Meta Platforms,654.9,2550.0,228250.0,38.08,1670000.0,29.85,25.4,10.47,0.32,0.43,20.2,1.01,-13.11,FY 2026,FY 2025,254190.0,87940.0,80980.0,79458.23789891586,31.16,18.990220604957926,21.017329910141207,0.7936589237206083,3.756058444026952,0.8989377077862355,2.4636449542058605,,34.59616822062237,41.43902074936558,26.4815644125989,5.595581171950048,754.15,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.89,3.756058444026952,탈락,PEG영익>1,,2026-09-10
LLY,Eli Lilly,1121.88,891.36,79670.0,49.72,1000000.0,102.29,42.24,6.66,0.62,1.62,27.56,1.3,,FY 2026,FY 2025,88180.0,41050.0,31500.0,32721.859735444075,36.71,24.360535931790498,30.560610187959686,0.866061118283136,0.799691737958064,1.2243406747446741,0.769457856924634,,46.552506237242,45.56612457809143,35.286897821417604,38.215488215488215,1316.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",11.87,0.799691737958064,탈락,fPER>30,,2026-09-10
MSFT,Microsoft,491.65,7430.0,331840.0,46.78,3650000.0,34.04,26.18,10.06,0.74,0.29,24.89,1.55,-1.31,FY 2027,FY 2026,391080.0,182160.0,146920.0,146623.61435980882,19.75,20.037329819938517,24.89367088607595,1.3944489781963947,1.4355473508003083,1.3332241726854661,1.4825948975821224,,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,572.92,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",8.25,1.4355473508003083,탈락,"PEG매출>1,PEG영익>1",,2026-09-10
BE,Bloom Energy,269.28,294.53,3110.0,11.74,79310.0,22.21,22.93,24.4,,1.72,76.25,,,FY 2026,FY 2025,4120.0,649.9,652.52,798.1658496732026,2.71,122.03415910140022,99.36531365313652,0.9557996837111228,0.15657961453597044,1.1922764504207608,0.6434145579915406,,15.774271844660193,4.379702970297029,103.96039603960396,634.5992991974681,275.08,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Bloom Energy Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.99,0.6434145579915406,탈락,"fPER>30,전년이익률<5","기저효과(2y),비지배괴리",2026-09-10
AAPL,Apple,315.34,14590.0,466820.0,33.17,4600000.0,148.75,101.57,10.04,0.34,0.78,34.26,3.26,,FY 2026,FY 2025,477710.0,156310.0,129930.0,128661.12767171941,8.82,29.428699379438296,35.75283446712018,2.417367927187122,2.045105170185012,2.868868265519937,2.695762110886009,,32.720688283686755,31.970876585928487,14.789984621299501,17.48214956783165,324.53,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.81,2.045105170185012,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-10
SNDK,Sandisk,1748.0,146.42,20250.0,61.58,258310.0,91.64,102.23,,,0.01,8.24,0.21,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31638.541762013727,214.1,6.633538777606574,8.164409154600655,0.057585957986995215,0.038462479092508564,0.11844021893960924,0.08754896388671081,,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2125.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.46,0.08754896388671081,통과,,기저효과(2y),2026-09-10
DELL,Dell Technologies,531.99,635.81,151200.0,9.9,340320.0,,29.05,11.22,0.47,,19.04,0.5,,FY 2027,FY 2026,193530.0,20490.0,15870.0,16555.72773924322,25.88,16.609077598828698,20.556027820710973,0.2917778970825758,0.1522927464711977,0.5172735545045113,0.3083553861640609,,10.58750581305224,7.6801127355997885,70.45094239915448,134.97706422018348,564.46,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.99,0.1522927464711977,탈락,ROE<10,,2026-09-10
