종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,223.77,24150.0,302970.0,65.21,5400000.0,117.21,92.03,16.33,0.45,0.17,18.64,0.36,,FY 2027,FY 2026,411560.0,268840.0,242920.0,224668.18608392545,9.31,20.086296682041365,24.03544575725027,0.26532124306413574,0.22636199149785932,0.3088963219030949,0.29561459806234924,,65.32218874526194,60.382513661202175,90.58997869778642,106.18145563310071,327.7,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",10.25,0.22636199149785932,통과,,,2026-09-25
TSLA,Tesla,369.89,3950.0,103620.0,4.13,1460000.0,4.67,5.46,14.26,,0.18,198.31,9.23,-16.46,FY 2026,FY 2025,106190.0,4059.9999999999995,3750.0,7025.872556706048,1.78,359.6059113300493,207.80337078651684,17.346825397610388,,16.146324414595117,13.742039487238198,,3.823335530652604,4.597701149425287,11.979331435199825,-6.880733944954143,396.94,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Tesla Inc,5,"글로벌AI인공지능,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",8.04,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-09-25
META,Meta Platforms,748.08,2550.0,228250.0,38.08,1910000.0,29.85,25.4,10.55,0.28,0.43,24.08,1.23,-1.08,FY 2026,FY 2025,254120.0,87260.0,80690.0,79328.01304673297,31.07,21.888608755443503,24.077244930801417,0.9104052518801807,5.038072758384774,1.0286609052747373,2.8853809396859353,,34.33810798048167,41.43902074936558,26.446733343285068,4.779058597502406,761.01,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.84,5.038072758384774,탈락,PEG영익>1,,2026-09-25
AMZN,Amazon,247.64,10790.0,775680.0,12.08,2670000.0,30.56,11.94,11.23,,0.46,26.61,1.28,,FY 2026,FY 2025,828280.0,109870.0,140100.0,138761.50864157648,12.87,24.301447164831163,19.241647241647243,1.238750156293259,0.5148701727624444,1.2845252601930324,0.9442225228377741,,13.264837977495533,11.156056463761647,15.53311387602523,37.37184296074019,328.22,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.77,0.5148701727624444,탈락,PEG매출>1,,2026-09-25
LLY,Eli Lilly,1161.38,891.36,79670.0,49.72,1040000.0,102.29,42.24,6.68,0.6,1.62,28.38,1.31,,FY 2026,FY 2025,88430.0,41120.0,31570.0,33052.40317553255,36.91,25.291828793774318,31.465185586561912,0.8821078694761748,0.8183152468659272,1.2507448395289409,0.7840746172083305,,46.50005654189754,45.56612457809143,35.670451058606915,38.45117845117845,1325.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",11.24,0.8183152468659272,탈락,fPER>30,,2026-09-25
MSFT,Microsoft,514.13,7430.0,331840.0,46.78,3820000.0,34.04,26.18,10.07,0.76,0.29,25.2,1.57,,FY 2027,FY 2026,391040.0,182180.0,146970.0,146817.3419174139,19.76,20.968273136458446,26.018724696356273,1.4584550005471066,1.4993121090803074,1.3940471896226034,1.5248783902764438,,46.588584288052374,46.78158148505304,17.839922854387645,17.353774800309196,576.4,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.79,1.4993121090803074,탈락,"PEG매출>1,PEG영익>1",,2026-09-25
AAPL,Apple,337.22,14590.0,466820.0,33.17,4920000.0,148.75,101.57,10.05,0.32,0.78,36.49,3.28,,FY 2026,FY 2025,477830.0,156380.0,129930.0,128828.6578494751,8.83,31.461823762629493,38.19026047565119,2.5771459055532677,2.177974349029316,3.02250924498274,2.8540881452156444,,32.72712052403575,31.970876585928487,14.818819684736638,17.534761367906793,328.22,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.19,2.177974349029316,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-25
INTC,Intel,124.13,5250.0,57030.0,7.82,652240.0,-10.72,3.42,15.49,,0.49,75.65,1.09,,FY 2026,FY 2025,63080.0,9710.0,-11810.0,7986.826713928946,1.52,67.17198764160659,81.66447368421052,4.218931998250759,,4.8819920337591025,0.672318353786586,,15.39315155358275,1.7540208136234625,19.356669820245976,947.4649406688242,116.37,USD,,기저효과→PEG(영익)1y 산출불가,반도체,Stock Lists Top Stocks Corporate Actions,Intel Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.73,0.672318353786586,탈락,"PEG매출>1,ROE<10,fPER>30,전년이익률<5",기저효과,2026-09-25
BE,Bloom Energy,282.14,294.53,3110.0,11.74,83100.0,22.21,22.93,24.39,,1.72,79.94,,,FY 2026,FY 2025,4120.0,649.9,657.27,798.1888424186574,2.71,127.86582551161717,104.11070110701107,1.001445791600773,0.1640573843032483,1.2492159749023823,0.6730158278212662,,15.774271844660193,4.379702970297029,103.96039603960396,634.5992991974681,280.24,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Bloom Energy Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.66,0.6730158278212662,탈락,"PEG매출>1,fPER>30,전년이익률<5","기저효과,PER괴리",2026-09-25
DELL,Dell Technologies,561.21,635.81,151200.0,9.9,356820.0,,29.36,11.24,0.45,,19.05,0.5,,FY 2027,FY 2026,193510.0,20830.0,15870.0,16467.343775057463,25.9,17.130100816130582,21.66833976833977,0.307643278391559,0.15602636067706258,0.5355629436509025,0.31798646052770313,,10.764301586481318,7.6801127355997885,70.43332746168751,138.87614678899084,577.36,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.6,0.15602636067706258,탈락,ROE<10,,2026-09-25
SNDK,Sandisk,1772.85,146.42,20250.0,61.58,259579.99999999997,91.64,102.23,,,0.01,8.3,0.21,,FY 2027,FY 2026,48950.0,38920.0,33340.0,31319.153904729672,213.9,6.669578622816032,8.288218793828891,0.05847959253485542,0.03907526970096267,0.11995666142707513,0.08930706953722883,,79.5097037793667,61.58024691358025,141.72839506172838,212.10906174819567,2137.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.39,0.08930706953722883,통과,,기저효과,2026-09-25
GOOGL,Alphabet,342.3,12230.0,445870.0,33.11,4190000.0000000005,48.68,24.93,10.72,0.26,0.19,25.6,2.0,,FY 2026,FY 2025,498550.0,171730.0,252150.0,252403.7394098744,20.62,24.398765503988823,16.6003879728419,0.6987044500030962,0.501783570863321,0.7051982745099141,0.9538646339468179,,34.44589308996089,32.03256876179128,23.758812431734675,33.082765034097974,429.46,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.1,0.501783570863321,통과,,PER괴리,2026-09-25
AMD,Advanced Micro Devices,631.9,1630.0,41310.0,15.82,1030000.0,10.2,9.77,17.81,,0.06,56.86,0.86,,FY 2026,FY 2025,50880.0,14240.0,9350.0,12355.43598670676,7.58,72.3314606741573,83.3641160949868,1.7781607029127728,0.29693504209071486,1.4016111181037445,0.8935749313762325,,27.9874213836478,10.796766743648961,46.882217090069275,280.7486631016043,616.51,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Advanced Micro Devices Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.59,0.8935749313762325,탈락,"PEG매출>1,fPER>30","기저효과,PER괴리",2026-09-25
PLTR,Palantir,190.7,2400.0,6160.0,42.8,458260.0,38.1,363.8,13.16,,0.02,101.54,1.9,,FY 2026,FY 2025,8189.999999999999,4940.0,3910.0,3868.8966963817516,1.61,92.76518218623482,118.44720496894409,1.430305871323099,0.47311773089578235,1.810373688727265,1.5532554782069798,,60.31746031746032,31.473214285714285,82.81249999999997,250.354609929078,195.57,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Palantir Technologies Inc,4,"글로벌우주테크&방산,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.69,1.5532554782069798,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과,2026-09-25
SNOW,Snowflake,338.39,352.46,5430.0,-22.43,119270.0,-48.06,-15.26,11.3,,1.29,132.6,3.4,,FY 2027,FY 2026,6320.0,918.14,-913.1,782.4681580424955,2.22,129.9039362188773,152.4279279279279,4.349772577455502,,4.817587632333243,2.762510641072541,,14.527531645569619,-28.418803418803417,35.04273504273505,,425.19,USD,,기저효과→PEG(영익)1y 산출불가,소프트웨어,Stock Lists Top Stocks Corporate Actions,Snowflake Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.49,2.762510641072541,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30,전년이익률<5",기저효과,2026-09-25
