종목코드,기업,현재가,시총(억),네이버업종,순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
005930,삼성전자,257000.0,15024936.02256,반도체와반도체장비,3260180.0,3917860.0,3.834985431475346,4.608621616769627,5.34,0.037975035474391405,0.005771084656512271,0.08132913575678474,0.018734119261305363,0.11022222052496514,0.015851051510102746,,,53.0539258667443,56.36,121.35924454573495,798.5711336895943,1.39,2026.12(E),13.069612977468323,2025.12,,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",26.35,반도체,메모리,삼성전자,0.018734119261305363,통과,,기저효과(2y),2026-08-29
214450,파마리서치,461500.0,47948.22552,건강관리장비와용품,2231.0,2712.0,17.680024159292035,21.49180883908561,24.09,0.7185821122444896,0.8112401082922455,0.5233293779718999,0.46068585072528917,0.5550752665543535,0.49716802102683155,,,38.926367159466054,28.57,29.90863322767108,26.49253731343284,0.92,2026.12(E),39.97762446391945,2025.12,,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",8.84,바이오·헬스케어,미용의료·의료기기,파마리서치,0.8112401082922455,통과,,,2026-08-29
009150,삼성전기,1421000.0,1061397.42016,전자장비와기기,15996.0,19307.0,54.97474595535298,66.35392724181045,71.72,2.495136128742943,0.595646174070626,3.69486878511785,1.0689463611407986,3.852863431272023,1.5437692006685328,,,13.47934149713057,14.94,26.59330947014893,111.39822621263549,0.92,2026.12(E),8.071943081886076,2025.12,,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.05,반도체,전자부품,삼성전기,0.595646174070626,탈락,"PEG매출>1,fPER>30",,2026-08-29
000660,SK하이닉스,1653000.0,12075038.79345,반도체와반도체장비,2532488.0,2666476.0,4.528463332672036,4.768053705861587,4.73,0.01862808247447586,0.010257056153741973,0.037086840492669734,0.020111298780290512,0.0399503174276876,,,,77.10948314926466,101.7,255.96052156172058,464.8559620220182,0.46,2026.12(E),48.59279831430198,2025.12,,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",23.37,반도체,메모리,SK하이닉스,0.020111298780290512,통과,,기저효과(2y),2026-08-29
003230,삼양식품,1547000.0,116535.74205,식품,5656.0,7338.0,15.881131377759608,20.603914789603962,20.6,0.615239801957727,0.515294471980458,0.592269540072923,0.44863770028445704,0.5412947270930796,0.291381400332628,,,23.37389310059247,37.37,33.48924228250703,39.98473864937046,0.39,2026.12(E),22.28931031550302,2025.12,,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",8.39,소비재·식품,음식료,삼양식품,0.515294471980458,통과,,,2026-08-29
005380,현대차,399500.0,818007.27517,자동차,110612.0,114811.0,7.124816221180898,7.395285097186562,10.54,1.7634848709256936,64.24878027729267,1.4121449307916099,,1.2203044691877707,,,,5.916104484472228,8.39,4.193563108542353,0.11510389870856841,3.37,2026.12(E),6.157112982505121,2025.12,,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",4.08,자동차,완성차,현대차,64.24878027729267,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",,2026-08-29
017670,SK텔레콤,98600.0,211782.992258,무선통신서비스,13392.0,19622.0,10.793139958108247,15.81414219369773,15.79,4.805565669068344,0.1909081822528279,,4.23259282179109,156.5981040077651,4.1339003707015465,,,11.10978999994338,10.04,3.290797230279785,82.83637718971302,3.1,2026.12(E),6.27631702067933,2025.12,,4,"Korea플러스배당,K이노베이션,코리아밸류업,코스피",3.43,인터넷·통신,통신,SK텔레콤,0.1909081822528279,탈락,PEG매출>1,,2026-08-29
034730,SK,543000.0,393689.67729,석유와가스,329475.0,118212.0,3.330369821084154,1.1948999993626224,3.47,0.05954206742599452,,0.1289554591665323,0.00978464990275736,0.2607699877720419,0.03368041621890506,,,8.023751150497258,36.7,20.06816442589563,550.0522408578499,3.12,2026.12(E),1.4820302306457935,2025.12,기저효과→PEG(영익)fwd 기준,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.17,지주·소재,지주,SK,0.00978464990275736,탈락,"이익률<10,전년이익률<5","기저효과(2y),비지배괴리",2026-08-29
006400,삼성SDI,571000.0,460143.3763,전기제품,9192.0,3522.0,130.6483180863146,50.059114044821584,67.47,2.4795372173627346,,,,,,,,2.208829044659488,3.13,20.188893997753766,,,2026.12(E),-12.982881952557909,2025.12,기저효과→PEG(영익)fwd 기준,3,"K신재생에너지,K이노베이션,코스피",15.01,2차전지·에너지,셀,삼성SDI,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-29
257720,실리콘투,53300.0,34952.142316,인터넷과카탈로그소매,2495.0,2956.0,11.824134748308524,14.008874675751501,14.43,0.31617684594705625,0.3190047514855165,0.2661796359023543,0.30081784093063013,0.20759555498702387,0.1676667737124437,,,18.349990688435035,43.09,44.307085908805874,43.914313534566695,0.79,2026.12(E),18.400071665322944,2025.12,,3,"K컬처,코리아밸류업,코스닥",10.49,화장품·뷰티,유통,실리콘투,0.3190047514855165,통과,,,2026-08-29
