종목코드,현재가,시총(억),네이버업종,배당수익률(사이트),52주고가,52주저가,추정PER(사이트),목표주가,외인비율,기업,순이익(E),당기순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),부채비율,매출증가율1y,영익증가율1y,배당수익률,괴리율(목표주가),추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
009150,1372000.0,1005377.0,282,0.18,2417000.0,188600.0,67.76,2350500.0,37.69,삼성전기,16054.0,16054.0,19468.0,51.642541606739265,62.62470412358291,69.52,2.34105532364053,0.5534121168463306,3.4730394553596167,0.998027081959177,3.62610509280143,1.4436938396067247,13.574875184782305,14.96,48.98,26.750629722921904,113.1610642724187,0.18,71.3192419825073,2026.12(E),8.071943081886076,2025.12,순이익=당기순이익 대체;,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.2,반도체,전자부품,삼성전기,0.5534121168463306,탈락,"PEG매출>1,fPER>30",,2026-09-17
005930,253500.0,14878779.0,278,0.66,380000.0,78300.0,5.31,487045.0,46.52,삼성전자,3238863.0,3238863.0,3877836.0,3.836876804485801,4.593827834026941,5.29,0.038066218582671195,0.0058194692285108065,0.08141371840271329,0.018809461181361783,0.11025132170398466,0.015873060748572962,52.673589774099796,56.17,29.94,120.67991003756227,789.389487879893,0.66,92.12820512820512,2026.12(E),13.069642952957366,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",26.28,반도체,메모리,삼성전자,0.018809461181361783,통과,,기저효과,2026-09-17
000660,1757000.0,12871275.0,278,0.17,3002000.0,333000.0,5.05,3305652.0,50.2,SK하이닉스,2526171.0,2526171.0,2649257.0,4.858447104225826,5.095171704528315,5.04,0.02005748909468024,0.011047440147064295,0.0398236354572659,0.021590333087959435,0.04283384979862149,,77.02965368512902,101.97,45.95,254.02839211213558,461.20835566439223,0.17,88.14183266932272,2026.12(E),48.59279831430198,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",24.15,반도체,메모리,SK하이닉스,0.021590333087959435,통과,,기저효과,2026-09-17
006400,546000.0,437579.0,283,,820000.0,200500.0,55.97,704842.0,25.69,삼성SDI,9919.0,9919.0,3895.0,112.34377406931964,44.11523339046275,56.08,2.2028061531154797,,,12.451136825502278,,,2.4460549122057826,3.56,79.27,20.026834103431913,,,29.0919413919414,2026.12(E),-12.982881952557909,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",13.62,2차전지·에너지,셀,삼성SDI,12.451136825502278,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-09-17
214450,327500.0,34286.0,281,1.12,625000.0,254500.0,17.2,518750.0,12.48,파마리서치,2235.0,2235.0,2717.0,12.619065145380935,15.34049217002237,17.26,0.5100499659505889,0.573996775087748,0.3727170451583617,0.3278801265533778,0.39559337165396496,0.35414950941528583,38.94782110091743,28.59,44.21,30.076449748275213,26.725746268656714,1.12,58.396946564885496,2026.12(E),39.97762446391945,2025.12,순이익=당기순이익 대체;,4,"K바이오,K컬처,코리아밸류업,코스닥",7.91,바이오·헬스케어,미용의료·의료기기,파마리서치,0.573996775087748,통과,,,2026-09-17
005380,362500.0,745318.0,273,2.75,787000.0,211000.0,9.66,697600.0,24.39,현대차,109997.0,109997.0,113966.0,6.539827667900953,6.775802976444812,9.61,1.6914714927775252,,1.3177153628635838,,1.1299651426076156,,5.883160674721085,8.35,188.95,4.005862945593264,-0.621735452872807,2.75,92.44137931034481,2026.12(E),6.157112982505121,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.86,자동차,완성차,현대차,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",,2026-09-17
003230,1264000.0,96724.0,268,0.37,1605000.0,981000.0,17.1,1864615.0,18.58,삼양식품,5659.0,5659.0,7338.0,13.181248296538566,17.09206573599576,16.79,0.509082069375821,0.4274647356301994,0.49071420537101984,0.3721693252574016,0.448687833884302,0.2417166882889979,23.359011905519832,37.36,72.74,33.57428352751084,39.98473864937046,0.37,47.517009493670884,2026.12(E),22.28931031550302,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",3.24,소비재·식품,음식료,삼양식품,0.4274647356301994,통과,,,2026-09-17
034730,552000.0,393690.0,313,1.47,920000.0,203500.0,3.36,855273.0,30.32,SK,346732.0,346732.0,123366.0,3.191235834832936,1.1354302458382843,3.41,0.05139613243818779,,0.11150356498374737,0.008946710094407262,0.21976957986841006,0.030344028254588366,8.234797804694729,37.14,149.17,22.091744883796927,578.3942810008249,1.47,54.94076086956521,2026.12(E),1.4820302306457935,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.2,지주·소재,지주,SK,0.008946710094407262,탈락,"이익률<10,전년이익률<5","기저효과,PER괴리",2026-09-17
226950,110900.0,25663.0,262,,225500.0,81700.0,,,9.36,올릭스,,,,,,,,,,,,,,,30.18,,,,,2026.12(E),-204.08163265306123,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,3,"K바이오,K컬처,코스닥",10.79,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,기저효과,2026-09-17
128940,501000.0,65848.0,261,0.39,648000.0,302000.0,25.05,668333.0,12.99,한미약품,2845.0,2845.0,3665.0,17.966712141882674,23.14516695957821,24.46,1.6878956583387033,0.5489258548462982,2.731278947086378,0.7664102525629168,4.074172303352368,1.256545574234205,20.827413763709725,19.06,50.23,13.7124394184168,42.16446858029481,0.39,33.39980039920161,2026.12(E),16.65912762520194,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코리아밸류업",10.59,바이오·헬스케어,제약,한미약품,0.5489258548462982,탈락,PEG매출>1,,2026-09-17
