종목코드,기업,현재가,시총(억),네이버업종,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
214450,파마리서치,341500.0,35481.0,,컨센서스 없음 → 산출불가,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",9.06,바이오·헬스케어,미용의료·의료기기,파마리서치,,보류,컨센서스 없음,,2026-09-14
009150,삼성전기,1320000.0,985957.0,,컨센서스 없음 → 산출불가,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.17,반도체,전자부품,삼성전기,,보류,컨센서스 없음,,2026-09-14
005930,삼성전자,247500.0,14469540.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",26.65,반도체,메모리,삼성전자,,보류,컨센서스 없음,,2026-09-14
000660,SK하이닉스,1679000.0,12264967.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",24.72,반도체,메모리,SK하이닉스,,보류,컨센서스 없음,,2026-09-14
006400,삼성SDI,527000.0,424686.0,,컨센서스 없음 → 산출불가,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",15.49,2차전지·에너지,셀,삼성SDI,,보류,컨센서스 없음,,2026-09-14
005380,현대차,367000.0,751461.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",4.0,자동차,완성차,현대차,,보류,컨센서스 없음,,2026-09-14
034730,SK,559000.0,405290.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.31,지주·소재,지주,SK,,보류,컨센서스 없음,,2026-09-14
017670,SK텔레콤,89100.0,191378.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K이노베이션,코리아밸류업,코스피",3.12,인터넷·통신,통신,SK텔레콤,,보류,컨센서스 없음,,2026-09-14
078930,GS,114300.0,106180.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",2.55,지주·소재,지주,GS,,보류,컨센서스 없음,,2026-09-14
003230,삼양식품,1290000.0,97176.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",2.18,소비재·식품,음식료,삼양식품,,보류,컨센서스 없음,,2026-09-14
373220,LG에너지솔루션,350500.0,820170.0,,컨센서스 없음 → 산출불가,3,"K신재생에너지,K이노베이션,코스피",9.44,2차전지·에너지,셀,LG에너지솔루션,,보류,컨센서스 없음,,2026-09-14
005490,POSCO홀딩스,321500.0,254762.0,,컨센서스 없음 → 산출불가,3,"K신재생에너지,K이노베이션,코스피",9.43,지주·소재,철강·비철,POSCO홀딩스,,보류,컨센서스 없음,,2026-09-14
196170,알테오젠,258000.0,179710.0,,컨센서스 없음 → 산출불가,3,"K바이오,K이노베이션,코스닥",9.41,바이오·헬스케어,신약·플랫폼,알테오젠,,보류,컨센서스 없음,,2026-09-14
068270,셀트리온,177000.0,411732.0,,컨센서스 없음 → 산출불가,3,"K바이오,K이노베이션,코스피",8.97,바이오·헬스케어,바이오시밀러·CDMO,셀트리온,,보류,컨센서스 없음,,2026-09-14
226950,올릭스,100600.0,21189.0,,컨센서스 없음 → 산출불가,3,"K바이오,K컬처,코스닥",8.93,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,,2026-09-14
128940,한미약품,471000.0,60212.0,,컨센서스 없음 → 산출불가,3,"K바이오,K이노베이션,코리아밸류업",8.66,바이오·헬스케어,제약,한미약품,,보류,컨센서스 없음,,2026-09-14
207940,삼성바이오로직스,1400000.0,648073.0,,컨센서스 없음 → 산출불가,3,"K바이오,K이노베이션,코스피",7.99,바이오·헬스케어,바이오시밀러·CDMO,삼성바이오로직스,,보류,컨센서스 없음,,2026-09-14
402340,SK스퀘어,998000.0,1316602.0,,컨센서스 없음 → 산출불가,3,"Korea플러스배당,코리아밸류업,코스피",6.22,반도체,지주(하이닉스),SK스퀘어,,보류,컨센서스 없음,,2026-09-14
105560,KB금융,180100.0,638793.0,,컨센서스 없음 → 산출불가,3,"Korea플러스배당,코리아밸류업,코스피",4.87,금융,은행,KB금융,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-14
055550,신한지주,114400.0,537051.0,,컨센서스 없음 → 산출불가,3,"Korea플러스배당,코리아밸류업,코스피",4.71,금융,은행,신한지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-14
062040,산일전기,193500.0,59294.0,,컨센서스 없음 → 산출불가,3,"K이노베이션,코리아밸류업,코스피",3.4,미분류,-,산일전기,,보류,컨센서스 없음,,2026-09-14
278470,에이피알,364000.0,136275.0,,컨센서스 없음 → 산출불가,3,"K컬처,코리아밸류업,코스피",2.78,화장품·뷰티,브랜드·디바이스,에이피알,,보류,컨센서스 없음,,2026-09-14
010120,LS ELECTRIC,197500.0,296250.0,,컨센서스 없음 → 산출불가,3,"K신재생에너지,K이노베이션,코스피",2.76,AI·전력인프라,변압기·전력기기,LS ELECTRIC,,보류,컨센서스 없음,,2026-09-14
000810,삼성화재,668000.0,298245.0,,컨센서스 없음 → 산출불가,3,"Korea플러스배당,코리아밸류업,코스피",1.65,금융,보험,삼성화재,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-14
066970,엘앤에프,113000.0,45974.0,,컨센서스 없음 → 산출불가,3,"K신재생에너지,K이노베이션,코스피",0.95,미분류,-,엘앤에프,,보류,컨센서스 없음,,2026-09-14
033780,KT&G,171300.0,177827.0,,컨센서스 없음 → 산출불가,3,"Korea플러스배당,코리아밸류업,코스피",0.94,소비재·식품,담배·기호,KT&G,,보류,컨센서스 없음,,2026-09-14
259960,크래프톤,210000.0,96071.0,,컨센서스 없음 → 산출불가,2,"K이노베이션,K컬처",9.58,엔터·게임·콘텐츠,게임,크래프톤,,보류,컨센서스 없음,,2026-09-14
036570,NC,204000.0,43950.0,,컨센서스 없음 → 산출불가,2,"K이노베이션,K컬처",8.91,엔터·게임·콘텐츠,게임,NC,,보류,컨센서스 없음,,2026-09-14
035420,NAVER,202500.0,307991.0,,컨센서스 없음 → 산출불가,2,"K이노베이션,코스피",8.86,인터넷·통신,플랫폼,NAVER,,보류,컨센서스 없음,,2026-09-14
009830,한화솔루션,28550.0,64207.0,,컨센서스 없음 → 산출불가,2,"K신재생에너지,K이노베이션",8.47,2차전지·에너지,태양광,한화솔루션,,보류,컨센서스 없음,,2026-09-14
298380,에이비엘바이오,63400.0,35496.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",7.59,바이오·헬스케어,신약·플랫폼,에이비엘바이오,,보류,컨센서스 없음,,2026-09-14
145020,휴젤,231500.0,28910.0,,컨센서스 없음 → 산출불가,2,"K바이오,K컬처",7.03,바이오·헬스케어,미용의료·의료기기,휴젤,,보류,컨센서스 없음,,2026-09-14
141080,리가켐바이오,83100.0,30763.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",6.29,바이오·헬스케어,신약·플랫폼,리가켐바이오,,보류,컨센서스 없음,,2026-09-14
095610,테스,132000.0,25555.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스닥",4.97,반도체,전공정 장비,테스,,보류,컨센서스 없음,,2026-09-14
138040,메리츠금융지주,132200.0,221233.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코스피",4.4,금융,보험,메리츠금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-14
009540,HD한국조선해양,358500.0,253722.0,,컨센서스 없음 → 산출불가,2,"K신재생에너지,코리아밸류업",3.99,조선·방산·우주,조선,HD한국조선해양,,보류,컨센서스 없음,,2026-09-14
