종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
CRDO,CRDO,226.49,186.48,1340.0,33.33,42240.0,34.41,73.1,22.01,,0.01,36.82,0.81,,FY 2027,FY 2026,2460.0,1240.0,1010.0,1146.964545896066,6.15,34.064516129032256,36.827642276422765,0.4406164343786295,0.20614937407301845,0.5584709250661535,0.5906347994923374,,50.40650406504065,33.20970149253731,83.5820895522388,178.64542369834388,283.23,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Credo Technology Group Holding Ltd,2,"나스닥100채권혼합50,미국나스닥100",2.96,0.5906347994923374,탈락,fPER>30,기저효과(2y),2026-08-27
MELI,MercadoLibre,1950.44,50.7,35180.0,8.26,98880.0,27.5,14.2,10.25,,1.69,46.31,1.63,-18.99,FY 2026,FY 2025,41690.0,2900.0,1990.0,1980.7026106929718,39.07,34.09655172413793,49.92167903762478,1.1267478964038906,,1.3923738347533021,2.4837438872888735,,6.956104581434397,11.076497057805469,44.305988231221875,-9.375,2257.0,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,MercadoLibre Inc,2,"글로벌AI인공지능,글로벌소비트렌드",1.95,,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30",,2026-08-27
RKLB,Rocket Lab,66.18,598.46,769.15,-27.6,39610.0,-7.92,-5.51,18.67,,0.04,2624.59,,,FY 2026,FY 2025,953.34,-94.95,-166.88,15.091881017606559,-0.05,,2624.59,44.930257211128165,,52.14844877206836,,,-9.959720561394676,-38.0259222333001,58.414755732801616,,112.94,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,Rocket Lab Corp,2,"글로벌우주테크&방산,미국나스닥100",1.86,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-27
GLW,Corning,152.78,861.39,16960.0,15.62,131600.0,16.81,11.27,10.08,0.73,0.71,41.26,1.36,,FY 2026,FY 2025,19220.0,4140.0,2270.0,2816.6775755989006,3.27,31.78743961352657,46.7217125382263,2.034151440034756,0.5955734785092583,2.2259316423686433,1.510527112752725,,21.54006243496358,14.843250159948818,22.968650031989757,78.44827586206897,191.4,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Corning Inc,2,"나스닥100채권혼합50,미국나스닥100",1.63,0.5955734785092583,탈락,"PEG매출>1,fPER>30",,2026-08-27
CRWV,CoreWeave,88.01,551.54,7590.0,-2.66,48540.0,-43.6,-0.34,,,10.27,,,-4.73,FY 2026,FY 2025,12890.0,1060.0,-2870.0,,-3.93,45.79245283018868,,,,,,,8.223429014740109,-0.3313840155945419,151.2670565302144,,144.46,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,CoreWeave Inc,2,"나스닥100채권혼합50,미국나스닥100",1.6,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-27
SPCX,SpaceX,140.01,13570.0,23040.0,-14.92,1900000.0,,,,,0.31,107.62,,,FY 2026,FY 2025,44630.0,5160.0,1440.0,1221.3413327619458,0.09,368.2170542635659,1555.6666666666665,11.188095788392399,,11.299162368849,,,11.561729778176115,-11.033743974290305,139.04659882163898,,220.35,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Space Exploration Technologies Corp,2,"나스닥100채권혼합50,미국나스닥100",1.5,,탈락,"PEG매출>1,PEG산출불가,ROE<10,fPER>30,전년이익률<5","기저효과(2y),비지배괴리",2026-08-27
KO,The Coca-Cola Company,90.08,4300.0,50130.0,31.85,387570.0,42.05,20.1,5.81,2.35,1.16,26.5,3.58,,FY 2026,FY 2025,49720.0,16120.000000000002,14280.0,14198.279307282415,3.3,24.04280397022332,27.296969696969697,7.351779366700729,3.7639766472059977,14.056626918269966,3.2211598625296647,,32.42156074014482,31.351689612015022,3.7129745515227297,7.252162341982715,94.7,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Coca-Cola Co/The,2,"나스닥100채권혼합50,미국S&P500",1.36,3.7639766472059977,탈락,"PEG매출>1,PEG영익>1",,2026-08-27
QCOM,QUALCOMM,163.42,1070.0,44070.0,23.66,174860.0,33.75,25.56,12.62,2.25,0.55,17.66,4.75,,FY 2026,FY 2025,42950.0,13200.0,13750.0,11256.438624403378,10.52,13.246969696969696,15.534220532319392,,2.3761603999436693,24.21269590472197,,,30.73341094295693,27.981029810298104,-3.0036133694670286,6.537530266343827,193.1,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,QUALCOMM Inc,2,"글로벌AI인공지능,미국나스닥100",1.19,2.3761603999436693,탈락,"PEG매출>1,PEG영익>1",,2026-08-27
EBAY,eBay,104.2,445.0,12010.0,21.87,46370.0,46.61,28.48,10.55,1.19,1.53,16.61,1.36,,FY 2026,FY 2025,12510.0,3410.0,2009.9999999999998,2727.908829174664,6.13,13.59824046920821,16.998368678629692,1.3381694491687202,0.42149016213336893,1.7657485024163146,1.6317095372646657,,27.258193445243805,21.891891891891895,12.702702702702705,40.32921810699588,116.15,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,eBay Inc,2,"글로벌AI인공지능,글로벌소비트렌드",1.12,0.42149016213336893,탈락,PEG매출>1,,2026-08-27
PEP,PepsiCo,142.19,1360.0,96900.0,16.04,194070.0,51.51,19.38,5.28,4.16,2.39,16.32,3.22,-4.06,FY 2026,FY 2025,98950.0,15900.0,10810.0,11683.235107954146,8.56,12.205660377358491,16.610981308411215,3.108106522508101,2.704701086956519,4.016478109246946,3.3003824941816657,,16.068721576553816,15.948046417544981,5.34440540828276,6.141522029372504,155.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,PepsiCo Inc,2,"나스닥100채권혼합50,미국S&P500",1.05,2.704701086956519,탈락,"PEG매출>1,PEG영익>1",,2026-08-27
