종목코드,기업,비고,보유ETF수,보유ETF,최대비중,기준일
028300,HLB,실패: Financial Highlight 표 없음,2,"K바이오,코스닥",1.77,2026-08-22
006260,LS,실패: Financial Highlight 표 없음,2,"K신재생에너지,코스피",1.62,2026-08-22
079550,LIG디펜스앤에어로스페이스,실패: Financial Highlight 표 없음,2,"코리아밸류업,코스피",1.43,2026-08-22
028260,삼성물산,실패: Financial Highlight 표 없음,2,"Korea플러스배당,코스피",1.37,2026-08-22
192820,코스맥스,실패: Financial Highlight 표 없음,2,"코리아밸류업,코스피",1.23,2026-08-22
000810,삼성화재,실패: Financial Highlight 표 없음,2,"Korea플러스배당,코스피",1.22,2026-08-22
329180,HD현대중공업,실패: Financial Highlight 표 없음,2,"코리아밸류업,코스피",1.2,2026-08-22
000150,두산,실패: Financial Highlight 표 없음,2,"Korea플러스배당,코스피",1.15,2026-08-22
356860,티엘비,실패: Financial Highlight 표 없음,2,"K이노베이션,코스닥",1.11,2026-08-22
491000,리브스메드,실패: Financial Highlight 표 없음,2,"K바이오,코스닥",1.1,2026-08-22
058470,리노공업,실패: Financial Highlight 표 없음,2,"코리아밸류업,코스닥",0.93,2026-08-22
112610,씨에스윈드,실패: Financial Highlight 표 없음,1,K신재생에너지,8.04,2026-08-22
241710,코스메카코리아,실패: Financial Highlight 표 없음,1,K컬처,5.66,2026-08-22
263750,펄어비스,실패: Financial Highlight 표 없음,1,K컬처,5.16,2026-08-22
128940,한미약품,실패: Financial Highlight 표 없음,1,K바이오,5.02,2026-08-22
336260,두산퓨얼셀,실패: Financial Highlight 표 없음,1,K신재생에너지,5.01,2026-08-22
036930,주성엔지니어링,실패: Financial Highlight 표 없음,1,코스닥,4.89,2026-08-22
022100,포스코DX,실패: Financial Highlight 표 없음,1,K신재생에너지,4.66,2026-08-22
222800,심텍,실패: Financial Highlight 표 없음,1,코스닥,4.49,2026-08-22
119850,지엔씨에너지,실패: Financial Highlight 표 없음,1,코스닥,4.48,2026-08-22
095610,테스,실패: Financial Highlight 표 없음,1,코스닥,4.44,2026-08-22
041510,에스엠,실패: Financial Highlight 표 없음,1,K컬처,4.42,2026-08-22
100090,SK오션플랜트,실패: Financial Highlight 표 없음,1,K신재생에너지,4.34,2026-08-22
352820,하이브,실패: Financial Highlight 표 없음,1,K컬처,4.21,2026-08-22
068760,셀트리온제약,실패: Financial Highlight 표 없음,1,K바이오,4.02,2026-08-22
009540,HD한국조선해양,실패: Financial Highlight 표 없음,1,K신재생에너지,3.94,2026-08-22
009420,한올바이오파마,실패: Financial Highlight 표 없음,1,K바이오,3.9,2026-08-22
475830,오름테라퓨틱,실패: Financial Highlight 표 없음,1,K바이오,3.59,2026-08-22
000100,유한양행,실패: Financial Highlight 표 없음,1,K바이오,3.52,2026-08-22
122870,와이지엔터테인먼트,실패: Financial Highlight 표 없음,1,K컬처,3.49,2026-08-22
006730,서부T&D,실패: Financial Highlight 표 없음,1,K컬처,3.48,2026-08-22
277810,레인보우로보틱스,실패: Financial Highlight 표 없음,1,코스닥,3.47,2026-08-22
058610,에스피지,실패: Financial Highlight 표 없음,1,코스닥,3.23,2026-08-22
000270,기아,실패: Financial Highlight 표 없음,1,K신재생에너지,3.13,2026-08-22
108490,로보티즈,실패: Financial Highlight 표 없음,1,코스닥,2.69,2026-08-22
475150,SK이터닉스,실패: Financial Highlight 표 없음,1,K신재생에너지,2.67,2026-08-22
403870,HPSP,실패: Financial Highlight 표 없음,1,코스닥,2.55,2026-08-22
096770,SK이노베이션,실패: Financial Highlight 표 없음,1,K이노베이션,2.5,2026-08-22
086520,에코프로,실패: Financial Highlight 표 없음,1,코스닥,2.45,2026-08-22
456160,지투지바이오,실패: Financial Highlight 표 없음,1,K바이오,2.4,2026-08-22
035900,JYP Ent.,실패: Financial Highlight 표 없음,1,K컬처,2.3,2026-08-22
214150,클래시스,실패: Financial Highlight 표 없음,1,K컬처,2.25,2026-08-22
0126Z0,삼성에피스홀딩스,실패: Financial Highlight 표 없음,1,K바이오,2.19,2026-08-22
024110,기업은행,실패: Financial Highlight 표 없음,1,Korea플러스배당,2.1,2026-08-22
240810,원익IPS,실패: Financial Highlight 표 없음,1,코스닥,2.06,2026-08-22
089970,브이엠,실패: Financial Highlight 표 없음,1,코스닥,1.89,2026-08-22
001040,CJ,실패: Financial Highlight 표 없음,1,K컬처,1.88,2026-08-22
420770,기가비스,실패: Financial Highlight 표 없음,1,코스닥,1.88,2026-08-22
067310,하나마이크론,실패: Financial Highlight 표 없음,1,코스닥,1.85,2026-08-22
462870,시프트업,실패: Financial Highlight 표 없음,1,K컬처,1.83,2026-08-22
083650,비에이치아이,실패: Financial Highlight 표 없음,1,K신재생에너지,1.8,2026-08-22
095340,ISC,실패: Financial Highlight 표 없음,1,코스닥,1.77,2026-08-22
039200,오스코텍,실패: Financial Highlight 표 없음,1,K바이오,1.73,2026-08-22
084370,유진테크,실패: Financial Highlight 표 없음,1,코스닥,1.73,2026-08-22
059090,미코,실패: Financial Highlight 표 없음,1,코스닥,1.71,2026-08-22
035760,CJ ENM,실패: Financial Highlight 표 없음,1,K컬처,1.68,2026-08-22
347700,스피어,실패: Financial Highlight 표 없음,1,코스닥,1.68,2026-08-22
016360,삼성증권,실패: Financial Highlight 표 없음,1,Korea플러스배당,1.62,2026-08-22
131970,두산테스나,실패: Financial Highlight 표 없음,1,코스닥,1.62,2026-08-22
