종목코드,기업,현재가,시총(억),네이버업종,순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
402340,SK스퀘어,1123000.0,1481506.49754,반도체와반도체장비,429750.0,463802.0,3.1942650043337455,3.4473682316230363,3.43,,0.008069616228934644,0.1211226825469659,0.01413169603129466,0.05550649158364829,,477.8311217341136,94.3,-7.165538084854051,427.20349194080075,,2026.12(E),84.14055625693409,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",9.05,반도체,지주(하이닉스),SK스퀘어,0.01413169603129466,탈락,PEG매출>1,기저효과,2026-08-23
257720,실리콘투,47650.0,31247.084078,인터넷과카탈로그소매,2478.0,2951.0,10.588642520501525,12.609799870056497,12.99,0.2868620255745683,0.28874614195201825,0.24044070618269198,0.27149796576837165,0.1872381811717065,0.15110906753732056,18.36341008089608,43.44,43.957717459464305,43.670886075949376,0.79,2026.12(E),18.400071665322944,2025.12,,3,"K컬처,코리아밸류업,코스닥",9.03,화장품·뷰티,유통,실리콘투,0.28874614195201825,통과,,,2026-08-23
373220,LG에너지솔루션,343500.0,803790.0,전기제품,-4539.0,8254.0,97.38187545432518,,-209.09,,,,,,,2.5620570953213124,-1.88,36.09569192034403,-38.68211871331996,,2026.12(E),5.686513066180011,2025.12,,3,"K신재생에너지,K이노베이션,코스피",8.45,2차전지·에너지,셀,LG에너지솔루션,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30",,2026-08-23
005490,POSCO홀딩스,310000.0,245648.7337,철강,20884.0,30976.0,7.9302922811208685,11.76253273798123,13.16,1.8168895271339047,,19.49036654509972,0.6070169058912077,,,4.210520592485058,3.32,6.473994462688282,69.5364238410596,3.28,2026.12(E),2.644334097017291,2025.12,기저효과→PEG(영익)1y 산출불가,3,"K신재생에너지,K이노베이션,코스피",6.24,지주·소재,철강·비철,POSCO홀딩스,0.6070169058912077,탈락,"PEG매출>1,ROE<10,이익률<10,전년이익률<5",기저효과,2026-08-23
226950,올릭스,98100.0,20662.65585,생명과학도구및서비스,,,,,,,,,,,,,,,,,2026.12(E),-204.08163265306123,2025.12,기저효과→PEG(영익)1y 산출불가,3,"K바이오,K컬처,코스닥",6.04,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,기저효과,2026-08-23
207940,삼성바이오로직스,1551000.0,717972.65001,제약,18779.0,24162.0,29.714951163397068,38.23274136056233,38.28,1.8572284658360794,2.2798613378465578,1.5080329035561177,1.0854604461449857,2.7022880154501916,1.29796935287814,43.97008243708031,20.98,20.585911784068458,16.76976609317611,,2026.12(E),45.40706605222734,2025.12,,3,"K바이오,K이노베이션,코스피",5.71,바이오·헬스케어,바이오시밀러·CDMO,삼성바이오로직스,2.2798613378465578,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-23
005830,DB손해보험,177800.0,116459.620522,손해보험,20510.0,,,5.678187251194539,,,,,,,,,,,,5.8,2026.12(E),10.343675562632605,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",5.12,금융,보험,DB손해보험,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
105560,KB금융,164300.0,582751.946962,은행,67266.0,94214.0,6.185407125926083,8.663395280855113,8.93,,0.8165564012807309,,1.0546101399807202,,0.6256918231653258,,11.01,,10.609671624969174,3.5,2026.12(E),10.4858138610156,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",4.35,금융,은행,KB금융,0.8165564012807309,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
278470,에이피알,385000.0,144136.89675,화장품,5861.0,7579.0,19.017930696661832,24.592543379969293,24.7,0.2477421773248935,0.22906663112586073,0.23377667928174642,0.16556980826277767,0.30827079981119043,0.26231253430824214,24.903068936058357,90.49,99.26667976167091,107.35978112175104,2.2,2026.12(E),23.93112027761409,2025.12,,3,"K컬처,코리아밸류업,코스피",3.81,화장품·뷰티,브랜드·디바이스,에이피알,0.22906663112586073,통과,,,2026-08-23
055550,신한지주,104100.0,488697.698799,은행,59921.0,80830.0,6.045994046752443,8.155699984963535,8.36,,0.5405883661229981,,0.6870836695225095,,0.8295119897010974,,9.91,,15.086710140387849,3.37,2026.12(E),10.858353173989672,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",3.76,금융,은행,신한지주,0.5405883661229981,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
071050,한국금융지주,184500.0,102814.45524,증권,30964.0,40460.0,2.541138290657439,3.320451338328381,3.69,0.028700557170021672,0.045789701439298836,0.0647142292148246,0.03969745093360525,0.12676868561421353,0.04728917897899484,9.636316002572224,23.4,115.69292256795146,72.51524325246237,5.37,2026.12(E),12.048124688561138,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",2.91,금융,증권,한국금융지주,0.045789701439298836,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
010120,LS ELECTRIC,187000.0,280500.0,전기장비,5342.0,7144.0,39.263717805151174,52.50842381130663,52.07,1.6858235660579712,0.7774163858729566,2.677078911807012,1.4834605350583157,3.395210618385467,1.7481775771713144,10.969673704414587,23.7,31.14704579322567,67.54221388367729,0.65,2026.12(E),8.586733255467397,2025.12,,3,"K신재생에너지,K이노베이션,코스피",2.69,AI·전력인프라,변압기·전력기기,LS ELECTRIC,0.7774163858729566,탈락,"PEG매출>1,fPER>30",,2026-08-23
033780,KT&G,172300.0,178865.415688,담배,13496.0,15328.0,11.66919465605428,13.25321693005335,13.73,2.135738217846483,0.9417423368013048,1.5147601158620687,0.9780743712633043,2.1985818739420804,1.3943273292628764,21.934745277618774,14.25,6.205450096508969,14.073081789089837,4.22,2026.12(E),20.42190373421281,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",1.5,소비재·식품,담배·기호,KT&G,0.9417423368013048,탈락,PEG매출>1,,2026-08-23
035420,NAVER,222000.0,348490.2387,양방향미디어와서비스,19671.0,22171.0,15.71829140318434,17.71593913375019,17.7,1.213841887131702,43.46507244581616,1.3288916318316,3.0351980982648126,1.4104481442331251,1.2479818085845635,16.075843816843708,6.78,14.594931449937686,0.407590235949451,1.08,2026.12(E),18.34732031574574,2025.12,,2,"K이노베이션,코스피",8.92,인터넷·통신,플랫폼,NAVER,43.46507244581616,탈락,"PEG매출>1,PEG영익>1,ROE<10",,2026-08-23
145020,휴젤,245000.0,30662.17385,생물공학,1809.0,2192.0,13.988217997262772,16.949792067440576,17.41,0.6382069626101853,1.860772254835417,0.843346166715185,1.1419336193746032,0.8946795925324572,0.7370082100786963,40.74349442379182,16.81,26.558456833686183,9.109009457441509,,2026.12(E),47.259468360385796,2025.12,,2,"K바이오,K컬처",8.3,바이오·헬스케어,미용의료·의료기기,휴젤,1.860772254835417,탈락,PEG영익>1,,2026-08-23
036570,NC,224500.0,48366.32939,게임엔터테인먼트,4875.0,5232.0,9.244329011850153,9.921298336410256,10.33,0.11839091275844643,,0.3054621749681727,,0.6246407084305331,0.17655284099685895,18.890132505325486,13.05,83.80118123299489,3149.6894409937886,0.57,2026.12(E),1.0684186077377398,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K이노베이션,K컬처",7.88,엔터·게임·콘텐츠,게임,NC,,탈락,"PEG영익>1,전년이익률<5",기저효과,2026-08-23
298380,에이비엘바이오,75200.0,42102.572176,생물공학,-706.0,-750.0,,,-59.98,,,,,,,-286.25954198473283,-52.23,-66.9609079445145,,,2026.12(E),-50.945775535939475,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K바이오,코스닥",7.37,바이오·헬스케어,신약·플랫폼,에이비엘바이오,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
004370,농심,432500.0,26307.42665,식품,2078.0,2320.0,11.339408038793104,12.659974326275265,12.67,1.8293975236360647,0.4840268770482371,2.7930045645655177,0.657111477343183,3.857928840471973,4.17208802684821,6.1743180306054555,7.11,6.920297071963133,26.155519303969555,1.39,2026.12(E),5.232905557294482,2025.12,,2,"Korea플러스배당,K컬처",5.22,소비재·식품,음식료,농심,0.4840268770482371,탈락,"PEG매출>1,ROE<10,이익률<10",,2026-08-23
259960,크래프톤,222000.0,102425.98926,게임엔터테인먼트,9370.0,14616.0,7.007798936781609,10.931268864461046,11.03,0.23750218146767757,0.2830532880817222,0.322555610405589,0.9780427603136042,0.2996046597797164,0.45691453956648664,30.088313399345367,12.59,46.02597246437805,38.61911987860394,0.91,2026.12(E),31.696025972464376,2025.12,,2,"K이노베이션,K컬처",5.07,엔터·게임·콘텐츠,게임,크래프톤,0.2830532880817222,통과,,,2026-08-23
141080,리가켐바이오,100000.0,37019.418,제약,-829.0,-985.0,,,-44.37,,,,,,,-51.32881709223553,-16.85,35.522598870056484,,,2026.12(E),-75.21186440677965,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K바이오,코스닥",4.23,바이오·헬스케어,신약·플랫폼,리가켐바이오,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
178320,서진시스템,36250.0,23073.3921625,전기장비,120.0,898.0,25.694200626391982,192.27826802083334,188.49,2.6011966149532424,,8.14528395770834,,5.7324096693259206,8.59336486944568,4.842275545969264,1.66,73.91915971115071,8063.636363636364,,2026.12(E),0.10316046140860921,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K이노베이션,코스닥",4.23,AI·전력인프라,ESS·함체,서진시스템,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
138040,메리츠금융지주,115400.0,193118.753042,증권,25551.0,32423.0,5.956227154859205,7.5581680968259555,7.79,,0.5874553433915563,,9.064690964187234,,2.22790542333162,,23.23,,12.865944929856932,,2026.12(E),14.139390658069598,2025.12,,2,"Korea플러스배당,코스피",4.03,금융,보험,메리츠금융지주,0.5874553433915563,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
310210,보로노이,152100.0,28051.944453,제약,,,,,,,,,,,,,,,,,2026.12(E),-725.3333333333333,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K바이오,코스닥",3.98,바이오·헬스케어,신약·플랫폼,보로노이,,보류,컨센서스 없음,기저효과,2026-08-23
483650,달바글로벌,216500.0,27049.325975,화장품,1295.0,1628.0,16.615065095208845,20.887510405405404,20.86,0.46629034182513696,0.3458535572836295,0.372801967186707,0.3213600933139061,0.3775267665515857,0.2930403717252228,21.63455149501661,53.85,44.795074081200696,60.39408866995073,1.78,2026.12(E),19.530498364441023,2025.12,,2,"K컬처,코스피",3.56,화장품·뷰티,브랜드·디바이스,달바글로벌,0.3458535572836295,통과,,,2026-08-23
347850,디앤디파마텍,53300.0,24431.445597,생물공학,,,,,,,,,,,,,,,,,2026.12(E),-790.6976744186046,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K바이오,코스닥",3.52,바이오·헬스케어,신약·플랫폼,디앤디파마텍,,보류,컨센서스 없음,기저효과,2026-08-23
012450,한화에어로스페이스,1085000.0,559462.90085,우주항공과국방,35874.0,46248.0,12.097018267816987,15.595219402631432,24.22,0.7452221402382332,0.3137630172617993,0.22440934255270173,0.24593318518759366,0.2601007394044616,0.15886584274600227,14.322256975627884,21.47,20.926940519569026,49.703816398536894,0.74,2026.12(E),11.569155410086545,2025.12,,2,"코리아밸류업,코스피",3.44,조선·방산·우주,방산,한화에어로스페이스,0.3137630172617993,통과,,비지배괴리,2026-08-23
086790,하나금융지주,128800.0,353385.659424,은행,44799.0,59861.0,5.903437286781043,7.888248831982857,8.02,,0.6645030018113516,,0.7146978837640658,,0.9338174161200247,,9.6,,11.8709002223925,4.36,2026.12(E),7.761271532092899,2025.12,,2,"Korea플러스배당,코리아밸류업",3.42,금융,은행,하나금융지주,0.6645030018113516,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
316140,우리금융지주,31750.0,231168.474035,은행,33404.0,43798.0,5.27806004920316,6.92038300907077,7.22,,0.36072373732955004,,4.7610960402863425,,0.8904959806324718,,8.58,,19.18471753564819,4.86,2026.12(E),8.844624582414726,2025.12,,2,"Korea플러스배당,코리아밸류업",3.28,금융,은행,우리금융지주,0.36072373732955004,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
012330,현대모비스,496000.0,450033.61168,자동차부품,41404.0,37830.0,11.896209666402326,10.869326917206067,10.86,1.696796019152748,0.8576678055116178,1.6485889107343292,0.9932291528786039,3.44998839511346,0.5997727458982607,5.817028840653697,8.08,6.405794682753552,12.673119880863748,1.74,2026.12(E),5.493462656725258,2025.12,,2,"K신재생에너지,코리아밸류업",3.02,자동차,부품,현대모비스,0.8576678055116178,탈락,"PEG매출>1,ROE<10,이익률<10",,2026-08-23
039490,키움증권,268000.0,70291.88688,증권,18283.0,23068.0,3.0471600000000003,3.844658255209758,3.85,0.03040273292546309,0.06989519197902713,0.045020117851064516,0.08556617145720775,0.06455167931875623,0.06423109211560377,5.9494395642373386,25.18,126.4576531536004,55.006047574250786,3.97,2026.12(E),8.691893912403557,2025.12,,2,"Korea플러스배당,코리아밸류업",2.89,금융,증권,키움증권,0.06989519197902713,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
080220,제주반도체,73500.0,25315.482255,반도체와반도체장비,,,,,,,,,,,,,,,,,2026.12(E),11.879549966909332,2025.12,,2,"K이노베이션,코스닥",2.75,반도체,메모리,제주반도체,,보류,컨센서스 없음,,2026-08-23
290650,엘앤씨바이오,51000.0,13754.54904,건강관리장비와용품,258.0,370.0,37.174456864864865,53.31220558139535,57.91,0.5974041385595417,0.07195512409758882,1.0682229131376149,0.2562930890001082,1.5273109298609198,0.8087089737095543,22.867737948084056,10.62,89.23976608187134,740.9090909090909,0.08,2026.12(E),5.146198830409357,2025.12,,2,"K컬처,코스닥",2.74,바이오·헬스케어,미용의료·의료기기,엘앤씨바이오,0.2562930890001082,탈락,fPER>30,기저효과,2026-08-23
032830,삼성생명,328500.0,657000.0,생명보험,30799.0,31613.0,20.782589441052732,21.33186142407221,22.63,,0.9477766598625744,,1.712662919182982,,2.21213389572789,,2.93,,22.5072660337144,3.36,2026.12(E),6.948352509404039,2025.12,,2,"Korea플러스배당,코스피",2.54,금융,보험,삼성생명,0.9477766598625744,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
078600,대주전자재료,82900.0,13018.730402,전자장비와기기,172.0,396.0,32.875581823232324,75.69029303488372,76.89,1.3984578089028592,0.828988923715393,2.2416240492379536,4.713647230014188,2.657198430582173,0.884866113391246,10.091743119266056,6.4,54.124116260801244,91.30434782608697,0.16,2026.12(E),8.130400628436764,2025.12,,2,"K신재생에너지,코스닥",2.04,2차전지·에너지,소재,대주전자재료,0.828988923715393,탈락,"PEG매출>1,ROE<10,fPER>30",,2026-08-23
006800,미래에셋증권,34500.0,193050.5736,증권,35501.0,47798.0,4.038883919829281,5.437891146728261,6.93,0.05471054146111343,0.03635321442070476,0.08767690377499557,0.05406763213021577,0.12921967200674814,0.04973265548515836,8.186201049864271,23.39,99.39384625892156,149.584878074252,1.28,2026.12(E),6.539971997404638,2025.12,,2,"Korea플러스배당,코리아밸류업",1.89,금융,증권,미래에셋증권,0.03635321442070476,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
476830,알지노믹스,30150.0,8459.0,생물공학,,,,,,,,,,,,,,,,,2026.12(E),-184.81012658227849,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K바이오,코스닥",1.86,바이오·헬스케어,신약·플랫폼,알지노믹스,,보류,컨센서스 없음,기저효과,2026-08-23
028300,HLB,38650.0,51481.1131895,건강관리장비와용품,,,,,,,,,,,,,,,,,2026.12(E),-123.75296912114013,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K바이오,코스닥",1.77,바이오·헬스케어,신약·플랫폼,HLB,,보류,컨센서스 없음,기저효과,2026-08-23
006260,LS,293500.0,91572.0,전기장비,10382.0,19999.0,4.578828941447072,8.820265844731265,14.1,0.3058380543036659,0.09800709203171254,0.3992028733588404,0.24146008866899066,0.4688027026097538,0.28911401125670244,4.870534714036609,12.34,28.839661123313466,89.99619988599659,1.25,2026.12(E),3.30279259491685,2025.12,,2,"K신재생에너지,코스피",1.62,AI·전력인프라,전선·케이블,LS,0.09800709203171254,탈락,"이익률<10,전년이익률<5",비지배괴리,2026-08-23
079550,LIG디펜스앤에어로스페이스,695000.0,152900.0,우주항공과국방,3472.0,4475.0,34.167597765363126,44.03801843317972,42.47,2.345336238281956,1.0980283440716314,1.7646398261973806,1.060337032761944,1.4499788585479918,1.2990353223435678,8.74775197435296,22.68,18.77684645568738,40.10644959298686,0.7,2026.12(E),7.416006872692655,2025.12,,2,"코리아밸류업,코스피",1.43,조선·방산·우주,방산,LIG디펜스앤에어로스페이스,1.0980283440716314,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30",,2026-08-23
028260,삼성물산,395500.0,641372.782855,복합기업,38737.0,37964.0,16.894236193630807,16.55711033004621,23.92,1.4356590131074742,1.0823426083729033,4.258378710514873,1.292969594464875,6.032534180963306,1.6945601066140181,8.35458804733181,4.98,11.532759644790902,15.297476235308416,1.17,2026.12(E),8.081792343074257,2025.12,,2,"Korea플러스배당,코스피",1.37,지주·소재,지주,삼성물산,1.0823426083729033,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",비지배괴리,2026-08-23
192820,코스맥스,271000.0,30757.16939,화장품,1770.0,2560.0,12.01451929296875,17.37693185875706,18.12,0.738158033341357,0.5651832654393077,1.0241627584210267,0.8350022457647668,0.9354280670585257,0.5733572692976356,8.638434283786063,27.28,23.540937135234287,30.745658835546475,2.02,2026.12(E),8.162414540603635,2025.12,,2,"코리아밸류업,코스피",1.23,화장품·뷰티,ODM,코스맥스,0.5651832654393077,탈락,이익률<10,,2026-08-23
000810,삼성화재,661000.0,295119.79653,손해보험,23481.0,31670.0,9.318591617619198,12.568450940334738,13.58,,0.658018663032961,,1.3472998438814119,,1.2151764282432256,,8.2,,19.100447519837548,3.92,2026.12(E),10.731480920959703,2025.12,,2,"Korea플러스배당,코스피",1.22,금융,보험,삼성화재,0.658018663032961,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-23
329180,HD현대중공업,453000.0,475474.34925,조선,32608.0,40334.0,11.788425379332574,14.581524449521591,14.58,0.35332085829682214,0.1488544319149268,0.4713407437022642,0.10478619318801329,0.5289568108697765,0.07982908296012245,16.240069898252944,31.14,41.26992252824135,97.95828220858895,1.11,2026.12(E),11.58947931242392,2025.12,,2,"코리아밸류업,코스피",1.2,조선·방산·우주,조선,HD현대중공업,0.1488544319149268,통과,,,2026-08-23
000150,두산,1078000.0,174569.5413,복합기업,9336.0,18125.0,9.631422968275862,18.698536985861185,47.52,1.797277974940369,0.2650164744581846,1.9172015681840144,0.5439724482307332,4.137952494407702,2.319011759683771,8.298080796982017,24.8,10.403809119444407,70.55613061070858,0.51,2026.12(E),5.371485182545579,2025.12,,2,"Korea플러스배당,코스피",1.15,반도체,기판·PCB,두산,0.2650164744581846,탈락,"PEG매출>1,이익률<10",비지배괴리,2026-08-23
356860,티엘비,31100.0,7371.0,반도체와반도체장비,439.0,544.0,13.549632352941176,16.790432801822323,15.77,0.41297115882693347,0.15371522987583816,0.3985698189838337,0.05596810933940775,0.5888177977033853,0.10318626751468456,14.96149614961496,24.91,40.657640232108314,109.23076923076924,0.72,2026.12(E),10.058027079303674,2025.12,,2,"K이노베이션,코스닥",1.11,반도체,기판·PCB,티엘비,0.15371522987583816,통과,,,2026-08-23
491000,리브스메드,33450.0,8448.0,건강관리장비와용품,-202.0,-228.0,,,-41.67,,,,,,,-29.92125984251969,,48.828125,,,2026.12(E),-44.140625,2025.12,기저효과→PEG(영익)1y 산출불가,2,"K바이오,코스닥",1.1,바이오·헬스케어,미용의료·의료기기,리브스메드,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
058470,리노공업,65700.0,50071.18545,반도체와반도체장비,1909.0,2226.0,22.493794002695417,26.22901280775275,26.23,1.1589925588241867,1.0180998392482976,0.9320923027562416,0.7742720080235667,1.2282792160427702,1.0557642201216078,48.73029772329247,24.01,22.630872483221488,25.762711864406775,1.33,2026.12(E),47.51677852348993,2025.12,,2,"코리아밸류업,코스닥",0.93,반도체,테스트·후공정,리노공업,1.0180998392482976,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
112610,씨에스윈드,46550.0,19630.7880965,에너지장비및서비스,1894.0,3039.0,6.459620959690688,10.3647244437698,10.54,,,,1.1438696760180853,0.44517964187960235,0.24174639888611688,10.669147591630388,15.21,-2.8380406603902286,-5.120199812675619,2.4,2026.12(E),10.925774321189794,2025.12,,1,K신재생에너지,8.04,2차전지·에너지,풍력,씨에스윈드,,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
