종목코드,기업,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
095610,테스,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스닥",5.19,반도체,전공정 장비,테스,,보류,컨센서스 없음,,2026-09-11
138040,메리츠금융지주,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코스피",4.33,금융,보험,메리츠금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
086790,하나금융지주,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코리아밸류업",3.7,금융,은행,하나금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
476830,알지노믹스,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",3.59,바이오·헬스케어,신약·플랫폼,알지노믹스,,보류,컨센서스 없음,,2026-09-11
005830,DB손해보험,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코리아밸류업",3.55,금융,보험,DB손해보험,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
316140,우리금융지주,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코리아밸류업",3.42,금융,은행,우리금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
240810,원익IPS,실패: 기업실적분석 표 없음,2,"K신재생에너지,코스닥",3.35,반도체,전공정 장비,원익IPS,,보류,컨센서스 없음,,2026-09-11
310210,보로노이,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",3.17,바이오·헬스케어,신약·플랫폼,보로노이,,보류,컨센서스 없음,,2026-09-11
004370,농심,실패: 기업실적분석 표 없음,2,"Korea플러스배당,K컬처",3.12,소비재·식품,음식료,농심,,보류,컨센서스 없음,,2026-09-11
012450,한화에어로스페이스,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스피",3.12,조선·방산·우주,방산,한화에어로스페이스,,보류,컨센서스 없음,,2026-09-11
257720,실리콘투,실패: 기업실적분석 표 없음,2,"K컬처,코스닥",3.03,화장품·뷰티,유통,실리콘투,,보류,컨센서스 없음,,2026-09-11
032830,삼성생명,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코스피",2.58,금융,보험,삼성생명,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
012330,현대모비스,실패: 기업실적분석 표 없음,2,"K신재생에너지,코리아밸류업",2.44,자동차,부품,현대모비스,,보류,컨센서스 없음,,2026-09-11
347850,디앤디파마텍,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",2.38,바이오·헬스케어,신약·플랫폼,디앤디파마텍,,보류,컨센서스 없음,,2026-09-11
001040,CJ,실패: 기업실적분석 표 없음,2,"Korea플러스배당,K컬처",2.05,지주·소재,지주,CJ,,보류,컨센서스 없음,,2026-09-11
078600,대주전자재료,실패: 기업실적분석 표 없음,2,"K신재생에너지,코스닥",2.01,2차전지·에너지,소재,대주전자재료,,보류,컨센서스 없음,,2026-09-11
031980,피에스케이홀딩스,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스닥",1.89,반도체,후공정 장비,피에스케이홀딩스,,보류,컨센서스 없음,,2026-09-11
006800,미래에셋증권,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코리아밸류업",1.77,금융,증권,미래에셋증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
058470,리노공업,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스닥",1.74,반도체,테스트·후공정,리노공업,,보류,컨센서스 없음,,2026-09-11
006260,LS,실패: 기업실적분석 표 없음,2,"K신재생에너지,코스피",1.64,AI·전력인프라,전선·케이블,LS,,보류,컨센서스 없음,,2026-09-11
319660,피에스케이,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스닥",1.64,반도체,전공정 장비,피에스케이,,보류,컨센서스 없음,,2026-09-11
028300,HLB,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",1.6,바이오·헬스케어,신약·플랫폼,HLB,,보류,컨센서스 없음,,2026-09-11
000150,두산,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코스피",1.27,반도체,기판·PCB,두산,,보류,컨센서스 없음,,2026-09-11
079550,LIG디펜스앤에어로스페이스,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스피",1.23,조선·방산·우주,방산,LIG디펜스앤에어로스페이스,,보류,컨센서스 없음,,2026-09-11
192820,코스맥스,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스피",1.22,화장품·뷰티,ODM,코스맥스,,보류,컨센서스 없음,,2026-09-11
491000,리브스메드,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",1.14,바이오·헬스케어,미용의료·의료기기,리브스메드,,보류,컨센서스 없음,,2026-09-11
000270,기아,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코리아밸류업",1.06,자동차,완성차,기아,,보류,컨센서스 없음,,2026-09-11
028260,삼성물산,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코스피",1.02,지주·소재,지주,삼성물산,,보류,컨센서스 없음,,2026-09-11
086280,현대글로비스,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스피",0.96,미분류,-,현대글로비스,,보류,컨센서스 없음,,2026-09-11
290650,엘앤씨바이오,실패: 기업실적분석 표 없음,2,"K컬처,코스닥",0.93,바이오·헬스케어,미용의료·의료기기,엘앤씨바이오,,보류,컨센서스 없음,,2026-09-11
003490,대한항공,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코스피",0.79,미분류,-,대한항공,,보류,컨센서스 없음,,2026-09-11
112610,씨에스윈드,실패: 기업실적분석 표 없음,1,K신재생에너지,8.01,2차전지·에너지,풍력,씨에스윈드,,보류,컨센서스 없음,,2026-09-11
006730,서부T&D,실패: 기업실적분석 표 없음,1,K컬처,6.97,지주·소재,부동산,서부T&D,,보류,컨센서스 없음,,2026-09-11
009420,한올바이오파마,실패: 기업실적분석 표 없음,1,K바이오,6.35,바이오·헬스케어,신약·플랫폼,한올바이오파마,,보류,컨센서스 없음,,2026-09-11
