종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,218.29,24150.0,302970.0,65.21,5270000.0,117.21,92.03,16.33,0.46,0.17,18.12,0.35,,FY 2027,FY 2026,411290.0,268850.0,242390.0,224522.4242979523,9.3,19.602008554956296,23.472043010752685,0.2594600956100299,0.22103998903452568,0.3041079717232365,0.2909651086448999,,65.36750224902137,60.382513661202175,90.46494396591646,106.18912493289363,327.65,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",10.06,0.22103998903452568,통과,,,2026-09-13
TSLA,Tesla,365.25,3950.0,103620.0,4.13,1440000.0,4.67,5.46,14.25,,0.18,191.97,7.09,,FY 2026,FY 2025,106100.0,4180.0,3810.0,6978.2340862423,1.77,344.4976076555024,206.35593220338984,17.36356082595161,,16.222405529059074,14.665996995730486,,3.939679547596607,4.597701149425287,11.884424760097012,-4.128440366972475,390.09,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Tesla Inc,5,"글로벌AI인공지능,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.66,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-09-13
AMZN,Amazon,256.7,10790.0,775680.0,12.08,2770000.0,30.56,11.94,11.26,,0.46,27.72,1.33,,FY 2026,FY 2025,828280.0,109810.0,140220.0,138985.58628749513,12.88,25.22538930880612,19.930124223602483,1.2830733349842927,0.5343651811611554,1.3363864400116177,0.9752356772950165,,13.257594050321147,11.156056463761647,15.53311387602523,37.29682420605152,328.17,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.75,0.5343651811611554,탈락,PEG매출>1,,2026-09-13
META,Meta Platforms,647.55,2550.0,228250.0,38.08,1650000.0,29.85,25.4,10.47,0.32,0.43,20.02,1.0,-13.82,FY 2026,FY 2025,254190.0,87940.0,80980.0,79499.65253648369,31.2,18.762792813281784,20.75480769230769,0.7837455283583382,3.7091424562561897,0.8877093014305666,2.4328721804949427,,34.59616822062237,41.43902074936558,26.4815644125989,5.595581171950048,754.15,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.19,3.7091424562561897,탈락,PEG영익>1,,2026-09-13
LLY,Eli Lilly,1115.7,891.36,79670.0,49.72,994490.0,102.29,42.24,6.66,0.62,1.62,27.35,1.29,,FY 2026,FY 2025,88180.0,41050.0,31500.0,32721.814018105226,36.71,24.226309378806334,30.392263688368292,0.8612903248729764,0.7952865476163333,1.2175962587911657,0.7652192132588281,,46.552506237242,45.56612457809143,35.286897821417604,38.215488215488215,1316.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",11.93,0.7952865476163333,탈락,fPER>30,,2026-09-13
MSFT,Microsoft,494.82,7430.0,331840.0,46.78,3680000.0,34.04,26.18,10.06,0.73,0.29,25.09,1.56,-0.95,FY 2027,FY 2026,391080.0,182160.0,146920.0,146881.69435350227,19.75,20.2020202020202,25.054177215189874,1.4034399336746468,1.4448032952771455,1.3419116207382744,1.492154189406256,,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,572.92,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",8.3,1.4448032952771455,탈락,"PEG매출>1,PEG영익>1",,2026-09-13
AAPL,Apple,332.42,14590.0,466820.0,33.17,4850000.0,148.75,101.57,10.05,0.33,0.78,36.1,3.24,,FY 2026,FY 2025,477810.0,156320.0,129900.0,128829.49281030023,8.83,31.026100307062435,37.64665911664779,2.541286886939844,2.1525088076794097,3.0146304527516437,2.838556404288216,,32.71593311148783,31.970876585928487,14.814013840830453,17.48966553927096,324.4,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.86,2.1525088076794097,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-13
BE,Bloom Energy,275.76,294.53,3110.0,11.74,81220.0,22.21,22.93,24.42,,1.72,78.08,,,FY 2026,FY 2025,4120.0,649.9,652.52,798.1803017116333,2.71,124.97307278042776,101.75645756457564,0.9788002108592514,0.16034757317453657,1.2209675949496028,0.6588977960180751,,15.774271844660193,4.379702970297029,103.96039603960396,634.5992991974681,276.05,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Bloom Energy Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.83,0.6588977960180751,탈락,"fPER>30,전년이익률<5","기저효과,비지배괴리",2026-09-13
SNDK,Sandisk,1633.35,146.42,20250.0,61.58,239150.0,91.64,102.23,,,0.01,7.63,0.19,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31347.852572932927,214.1,6.141499743194658,7.628911723493695,0.05380893848859189,0.0359397541337236,0.11067181441934251,0.08180669345787134,,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2125.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.54,0.08180669345787134,통과,,기저효과,2026-09-13
DELL,Dell Technologies,567.29,635.81,151200.0,9.9,360690.0,,29.36,11.26,0.44,,20.18,0.53,,FY 2027,FY 2026,193570.0,20550.0,15870.0,16454.824164007827,25.88,17.55182481751825,21.92001545595054,0.31098320065833124,0.16157441654766586,0.5495932329331235,0.3279568929785255,,10.61631451154621,7.6801127355997885,70.48617227408842,135.6651376146789,564.46,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.02,0.16157441654766586,탈락,ROE<10,,2026-09-13
