ETF,종목코드,종목명,수량,비중,기준일
Korea플러스배당,000660,SK하이닉스,63,18.61,2026-08-23
Korea플러스배당,005930,삼성전자,369,17.47,2026-08-23
Korea플러스배당,005830,DB손해보험,165,5.12,2026-08-23
Korea플러스배당,138040,메리츠금융지주,200,4.03,2026-08-23
Korea플러스배당,017670,SK텔레콤,200,3.38,2026-08-23
Korea플러스배당,316140,우리금융지주,595,3.28,2026-08-23
Korea플러스배당,034730,SK,33,3.28,2026-08-23
Korea플러스배당,071050,한국금융지주,89,2.91,2026-08-23
Korea플러스배당,039490,키움증권,60,2.89,2026-08-23
Korea플러스배당,086790,하나금융지주,130,2.8,2026-08-23
Korea플러스배당,105560,KB금융,99,2.77,2026-08-23
Korea플러스배당,032830,삼성생명,49,2.54,2026-08-23
Korea플러스배당,003230,삼양식품,9,2.2,2026-08-23
Korea플러스배당,005380,현대차,29,2.12,2026-08-23
Korea플러스배당,024110,기업은행,603,2.1,2026-08-23
Korea플러스배당,402340,SK스퀘어,10,1.96,2026-08-23
Korea플러스배당,006800,미래에셋증권,299,1.89,2026-08-23
Korea플러스배당,009150,삼성전기,7,1.71,2026-08-23
Korea플러스배당,016360,삼성증권,100,1.62,2026-08-23
Korea플러스배당,138930,BNK금융지주,646,1.61,2026-08-23
Korea플러스배당,005940,NH투자증권,325,1.51,2026-08-23
Korea플러스배당,033780,KT&G,50,1.5,2026-08-23
Korea플러스배당,003530,한화투자증권,1798,1.49,2026-08-23
Korea플러스배당,028260,삼성물산,21,1.37,2026-08-23
Korea플러스배당,000810,삼성화재,11,1.2,2026-08-23
Korea플러스배당,003470,유안타증권,1494,1.19,2026-08-23
Korea플러스배당,004370,농심,14,1.08,2026-08-23
Korea플러스배당,175330,JB금융지주,231,1.07,2026-08-23
Korea플러스배당,055550,신한지주,60,1.06,2026-08-23
Korea플러스배당,005387,현대차2우B,29,1.01,2026-08-23
Korea플러스배당,000150,두산,4,0.82,2026-08-23
Korea플러스배당,139130,iM금융지주,136,0.4,2026-08-23
Korea플러스배당,030200,KT,40,0.36,2026-08-23
코스피,005930,삼성전자,2718,28.87,2026-08-23
코스피,000660,SK하이닉스,340,22.54,2026-08-23
코스피,006400,삼성SDI,213,4.17,2026-08-23
코스피,105560,KB금융,590,3.7,2026-08-23
코스피,003230,삼양식품,55,3.01,2026-08-23
코스피,009150,삼성전기,50,2.74,2026-08-23
코스피,402340,SK스퀘어,54,2.38,2026-08-23
코스피,278470,에이피알,140,2.12,2026-08-23
코스피,017670,SK텔레콤,520,1.97,2026-08-23
