종목코드,현재가,시총(억),네이버업종,배당수익률(사이트),52주고가,52주저가,추정PER(사이트),목표주가,외인비율,기업,순이익(E),당기순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),부채비율,매출증가율1y,영익증가율1y,배당수익률,괴리율(목표주가),추정연도,전년영업이익률,전년도,비고,종목명,섹터1,섹터2,메모,기준일,유효PEG,Type,탈락조건,플래그
322000,124300.0,13451.0,295,,256000.0,44200.0,,267500.0,6.45,HD현대에너지솔루션,1143.0,1143.0,1432.0,9.393156424581006,11.768153980752405,12.08,0.2853429855470822,0.047534112157548936,0.41503497876520173,0.02180730458910122,1.3983830376064785,0.1159283041680062,20.577669205345593,24.09,26.96,41.24213517353359,247.57281553398056,,115.20514883346742,2026.12(E),8.362086462350314,2025.12,순이익=당기순이익 대체;,HD현대에너지솔루션,2차전지·에너지,태양광,데이터센터 전력원 정책·9월 규제완화·미국 수출 확대·섹션232(12/4). 3Q 영익 400억↑ 확인 후 비중 확대,2026-09-16,0.02180730458910122,통과,,기저효과
388210,70500.0,6942.0,278,,171900.0,56500.0,11.74,123750.0,7.61,씨엠티엑스,630.0,630.0,675.0,10.284444444444444,11.019047619047619,11.42,0.3950131802721088,0.36355838641188964,0.29413239943626673,0.15941826993947586,0.2585245207923065,0.07608736645564546,32.86270691333982,28.21,51.01,27.895392278953924,30.308880308880305,,75.53191489361701,2026.12(E),32.25404732254047,2025.12,순이익=당기순이익 대체;,씨엠티엑스,반도체,소재·부품,"식각·증착용 Si 파츠 애프터마켓. 삼성·TSMC·마이크론 레퍼런스, 리사이클 내재화. 25.11 상장 — 램리서치 특허 항소·오버행 주시",2026-09-16,0.36355838641188964,통과,,
123330,24800.0,1968.0,266,,38900.0,15570.0,,,4.11,제닉,,,296.0,6.648648648648648,,6.8,,,,,,,17.809867629362213,,37.73,112.5319693094629,97.33333333333334,,,2026.12(E),19.18158567774936,2025.12,순이익=당기순이익 대체;,제닉,화장품·뷰티,ODM,하이드로겔 마스크팩 ODM 1위. 바이오던스(아마존 마스크팩 1위) 핵심 고객 — 고객 집중 리스크와 캐파 증설(월 600→950만장)·세포라/유럽 확장 추적,2026-09-16,,보류,컨센서스 없음,
007660,105600.0,78842.0,278,0.21,165000.0,57700.0,28.53,176250.0,16.07,이수페타시스,2764.0,2764.0,3495.0,22.558512160228897,28.524602026049205,27.78,0.5769616472270225,0.4032448919014,0.7242852691645532,0.3348033129269958,0.8382420112644925,0.3667292003864658,21.49578694876684,31.14,70.53,49.439338235294116,70.73766487542746,0.21,66.90340909090908,2026.12(E),18.814338235294116,2025.12,순이익=당기순이익 대체;,이수페타시스,반도체,기판·PCB,AI 가속기·네트워크 장비용 고다층 MLB. 800G 스위치·GPU 서버 사이클 — 증설 캐파 가동률과 북미 고객 다변화 추적,2026-09-16,0.4032448919014,통과,,
353200,98600.0,50059.0,282,0.49,198000.0,26200.0,22.66,197692.0,18.07,대덕전자,2304.0,2304.0,2763.0,18.117625769091568,21.72699652777778,21.63,0.4305388653467573,0.0469540285877592,0.6382088055814722,0.05507716581674709,1.0454644886382045,0.17141834647465964,17.237507018528916,23.07,31.28,50.46465784286116,462.7291242362525,0.49,100.49898580121703,2026.12(E),4.609030320097625,2025.12,순이익=당기순이익 대체;,대덕전자,반도체,기판·PCB,FC-BGA·패키지기판. 전장·AI 반도체 기판 전환 — FC-BGA 가동률 회복과 수익성 턴 여부 추적,2026-09-16,0.05507716581674709,탈락,전년이익률<5,기저효과
064760,264500.0,30184.0,278,0.53,363000.0,136000.0,28.11,316429.0,65.2,티씨케이,1074.0,1074.0,1234.0,24.46029173419773,28.104283054003723,27.02,0.7921253960871207,0.5969492020837752,1.2963411778787102,1.1879600347757955,1.2976428194664986,1.2347148113511965,30.230279274865264,19.06,9.3,35.47958845004979,47.07985697258641,0.53,19.6328922495274,2026.12(E),27.846000663790242,2025.12,순이익=당기순이익 대체;,티씨케이,반도체,소재·부품,"SiC 링 등 식각공정 소모품 1위. NAND 고단화 수혜 — 씨엠티엑스와 같은 애프터마켓 경쟁 구도, 점유율·마진 방어 추적",2026-09-16,0.5969492020837752,통과,,
033500,16480.0,4873.0,272,2.46,33600.0,14050.0,,33500.0,15.8,동성화인텍,863.0,863.0,1134.0,4.297178130511464,5.6465816917728855,5.65,0.5232076069455479,0.10047593892713517,0.3259618195564753,0.1257205086739504,0.36449202621589966,0.13596123967835316,13.790587376869755,29.46,93.73,10.792239288601447,56.19834710743801,2.46,103.27669902912619,2026.12(E),9.781729991915926,2025.12,순이익=당기순이익 대체;,동성화인텍,조선·방산·우주,기자재,"LNG선 보냉재(PU 단열재) 1위. 조선 슬롯 2028년까지 — LNG선 건조 물량이 실적으로 시차 반영, 수주잔고·카타르 물량 추적",2026-09-16,0.10047593892713517,통과,,
